Word,Definition,Examples
大拿,person with power; head; boss,"[{""sentence"": ""['在我们家我老婆是大拿.']"", ""translation"": ""['My wife wears the trousers at my home.']""}]"
大排档,"stalls selling food normally in the street but can also be indoors, normally very cheap","[{""sentence"": ""['昨天晚上我们在大排档吃了一顿饭.']"", ""translation"": ""['We had dinner at the food stalls last night.']""}]"
大喘气,take a deep breath before finishing a sentence or phrase (on purpose); make fun of or tease,"[{""sentence"": ""['别大喘气.快点儿告诉我那里发生了什么事.']"", ""translation"": ""['Don’t take a deep breath. Please tell me immediately what happened there.']""}]"
大腕儿,famous person; big shot; expert; celebrity,"[{""sentence"": ""['如今在中国多数大腕儿置了房、买了车而且开了自己的公司.']"", ""translation"": ""['Now many celebrities in China have their own houses, cars and companies.']""}]"
大仙,"a professional fortune teller, or sorcerer/sorceress","[{""sentence"": ""['他冒充大仙，到处招摇撞骗。']"", ""translation"": ""['He passed him off as a sorcerer, and went about cheating people.']""}]"
带把儿的,boy,"[{""sentence"": ""['他高兴地看到他老婆给了生了个带把儿的。']"", ""translation"": ""['He was happy to see that his wife had given birth to a baby boy.']""}]"
单车,bicycle; bike,"[{""sentence"": ""['她每天骑单车上班。']"", ""translation"": ""['She goes to work by bicycle everyday.']""}]"
单元儿,one-yuan note,"[{""sentence"": ""['你有单元儿吗？地位的普通人。']"", ""translation"": ""['Do you have any one-yuan notes? Can you give me some?']""}]"
蛋白质,"a fool, idiot or neurotic/a derogatory term which mostly refers to people","[{""sentence"": ""['听说你们班有一个蛋白质女孩，还是文学发烧友，经常在网上发表一些文章。']"", ""translation"": ""['They say there’s a girl in your class who’s a real idiot. But she’s also a literature fanatic, and often publishes articles on the Internet.']""}]"
弹子,billiards,"[{""sentence"": ""['弹子房。']"", ""translation"": ""['billiards room.']""}]"
挡横儿,get in the way; block ; hinder,"[{""sentence"": ""['别在这儿给我挡横儿。']"", ""translation"": ""['Don’t get in my way.']""}]"
捯,pull back thread or rope; wind thread,"[{""sentence"": ""['你能帮我把线捯一下吗？']"", ""translation"": ""['Would you please wind the thread for me?']""}]"
捯饬,dress up; make up; doll up,"[{""sentence"": ""['她每天早晨都要捯伤一番。']"", ""translation"": ""['She gets dolled up every morning.']""}]"
倒汇,speculate in foreign currency; resell foreign currency at a profit,"[{""sentence"": ""['国家禁止非法倒汇。']"", ""translation"": ""['Speculation in foreign currency is forbidden by law.']""}]"
倒儿爷,speculator; profiteer,"[{""sentence"": ""['他决定辞职干倒儿爷去。']"", ""translation"": ""['He decided to quit his job to become a speculator.']""}]"
倒儿,speculator; profiteer/ Refers to individual retailers who buy things at a low price in one place and sell them for a profit elsewhere.,"[{""sentence"": ""['京城有不少外地来的倒儿。']"", ""translation"": ""['Speculators form other parts of the country come to Beijing to make cash.']""}]"
倒插门,bolt the door in a back to front way/ A metaphor for a man who goes to live in his wife’s parents’ home after marriage.,"[{""sentence"": ""['小张家在外地，独自一人在北京工作。他希望能找个北京的女孩，倒插门也没关系。']"", ""translation"": ""['Xiao Zhang is from another part of the country and works alone in Beijing. He hopes to have a Beijing girlfriend. He doesn’t care if he goes to live with his girlfriend in her parents’ home after marriage.']""}]"
登,wear(shoes or trousers),"[{""sentence"": ""['小男孩从床上爬起来，登上鞋就跑出了房间。']"", ""translation"": ""['The boy got up, clad in his shoes and ran out of the room.']""}]"
incapable people/A term often used to describe someone who gets high marks in school,"but is incapable in life.""","[{""sentence"": ""['他连自己的衣服都不会洗，真可算是一具低能儿了。']"", ""translation"": ""['He is really like retarded child! He doesn’t even know how to wash his clothes!']""}]"
的哥,taxi driver; cabman/An affectionate from of address to taxi driver.,"[{""sentence"": ""['他的朋友大多是的哥。']"", ""translation"": ""['Most his friends are taxi drivers.']""}]"
的票,taxi receipt,"[{""sentence"": ""['你最好明天一早打的去机场，别忘了跟的哥要张的票，回来给你报销。']"", ""translation"": ""['You’d better take a taxi to the airport early tomorrow. Don’t forget to ask for a receipt from the taxi driver so that I can submit an expense account for you.']""}]"
的爷,male taxi driver,"[{""sentence"": ""['那家饭馆因为饭菜实惠价低，每天都有不少的爷前去那儿吃饭。']"", ""translation"": ""['Because of the good food and low prices many male taxi divers go there for meals every day.']""}]"
地撮儿,street cleaner; scavenger; sanitation worker; rubbish scooper,"[{""sentence"": ""['他干了三十年地撮儿。']"", ""translation"": ""['He has worked as a rubbish scooper for thirty years.']""}]"
掂量,weigh by hand,"[{""sentence"": ""['你来掂量一上这本书的分量。']"", ""translation"": ""['Guess how much this book weighs.']""}]"
颠,go away; leave ; run,"[{""sentence"": ""['我们遇到困难时，他颠（儿）得比谁都快。', '让他们在那儿等吧，我先颠（儿）了。']"", ""translation"": ""['When we meet with difficulties, he runs faster than anyone.', 'Let them wait there. I’ll leave first.']""}]"
点水,inform against,"[{""sentence"": ""['这件事背后肯定有人点水，不然他们怎么行动得那么快。']"", ""translation"": ""['There must be someone who informed against us on this case, otherwise they coldn’t have acted so quickly.']""}]"
点子,"squealer/A term refers to one who is a criminal himself, but has responsibilities to supply information for the public security organs.","[{""sentence"": ""['警察从点子那儿获悉了这个情报。']"", ""translation"": ""['The police got this information form a squealer.']""}]"
垫背的,scapegoat; fall guy,"[{""sentence"": ""['即使他死了，他也要拉个垫背的。']"", ""translation"": ""['He will take a scapegoat with him even if he is going to die.']""}]"
垫底儿,be the poorest(lowest; bottommost);be the worst one,"[{""sentence"": ""['我知道你们的数学都比我强。我担心我将是垫底儿的。']"", ""translation"": ""['I know you are all better than me in mathematics. I’m afraid that I’m the worst.']""}]"
电老虎,power(electricity)tiger/A metaphor for embezzlers from power (electricity)supply units.,"[{""sentence"": ""['我们这里的电老虎可厉害，不给他们一点好处，就给你拉闸。']"", ""translation"": ""['The power tigers in our area very fearsome. They will cut your electricity off if you don’t bribe them.']""}]"
店嫂,married saleswoman,"[{""sentence"": ""['这家连锁店要招店嫂的消息刚刚传出，便有300多名下岗女工前来应聘。']"", ""translation"": ""['As soon as the news of this chain store hiring married saleswomen spread, over 300 laid off women rushed here to apply for the job.']""}]"
掉链子,break down; have problems; go wrong; make mistakes,"[{""sentence"": ""['他平时的学习成绩可好了，但是一到考试他就掉链子。这大概是心理素质不好造成的。']"", ""translation"": ""['Usually he has good marks, but he always goes wrong in examinations. Perhaps this is caused by a flaw in his psychological make-up.']""}]"
掉钱眼儿里,fall into the hole of a coin/A metaphor for someone who is very good with money.,"[{""sentence"": ""['现在的人们都掉钱眼儿里了，一说多干点儿活就跟你开口要钱。']"", ""translation"": ""['At present people are all good at calculating their own worth. As soon as they are told to work more they will ask you for money.']""}]"
跌份,embarrass yourself; cause yourself embarrassment,"[{""sentence"": ""['别穿这件破衣服去赴宴，给我跌份。']"", ""translation"": ""['Don’t embarrass me by wearing this shabby clothes to a dinner party.']""}]"
顶得住,bear; endure; stand up to,"[{""sentence"": ""['这点儿痛我还顶得住。', '任何困难他们都能顶得住。']"", ""translation"": ""['I can bear such pain.', 'They can stand up to any difficulties.']""}]"
懂眼,know the business; know the ropes; be an expert; know the ins and outs of,"[{""sentence"": ""['我的电脑坏了。你能不能帮我找个懂眼的人来看看哪里出了毛病。']"", ""translation"": ""['My computer is broken. Can’t you find me an expert to see what’s wrong with it?']""}]"
抖骚,play the coquette;,"[{""sentence"": ""['大冷天的，别在外面穷抖骚了，快点儿回家休息吧。']"", ""translation"": ""['Don’t show off outside any more in such a cold day. Come back home and have a rest quickly.']""}]"
豆腐块,beancurd cube/A tiny article published in a periodical or newspaper.,"[{""sentence"": ""['她很高兴看到自己写的豆腐发表在一家报纸上。']"", ""translation"": ""['She is happy to see her small piece in a newspaper.']""}]"
逗咳嗽,be at each other’s throats; quarrel with someone on account of a personal grudge; pick a fight; find fault,"[{""sentence"": ""['她闲得无事就跟丈夫逗咳嗽。']"", ""translation"": ""['Whenever she has nothing to do, she picks a fight with her husband.']""}]"
独食,selfish; domineering/A term used to describe someone who gets something and does not share it with others.,"[{""sentence"": ""['我女儿不独食。她喜欢与其他小朋友一起分享她的她吃的。']"", ""translation"": ""['My daughter is not selfish. She enjoys sharing her goodies with other kids.']""}]"
断档,(of people)break off in the middle; miss a link,"[{""sentence"": ""['由于“文革”的影响，我们研究所已经出现了研究员严重断档的现象。研究员不是老的老，就是小的小，中年的廖廖无几。整个缺了一代人。']"", ""translation"": ""['As a result of the“cultural revolution” there has been a severe shortage of researchers in our research institutions. All our researches are either too old or too young. We have simply lost a generation of middle-aged researchers.']""}]"
断码,no all sizes of goods are available; a shortage of some sizes,"[{""sentence"": ""['这个店里所有断码的鞋都半价处理。']"", ""translation"": ""['All the shoes which don’t have a full range of sizes in this shop are sold at half price.']""}]"
对表,a pair of watches for a couple,"[{""sentence"": ""['小韩这个周末结婚。咱们选一款对表送他做新婚纪念吧。']"", ""translation"": ""['Xiao Han will get married this weekend. Let’s choose a pair of watches for them as a wedding present.']""}]"
对衫,a set of shirts designed for a couple wear; matching shirts,"[{""sentence"": ""['今年夏天青年人都流行穿对衫。']"", ""translation"": ""['It’s fashionable for young people to wear matching shirts this summer']""}]"
蹲点,defecate; have a bowel movement; shit,"[{""sentence"": ""['他每天早上这个时候都要去蹲点。']"", ""translation"": ""['Every morning he has a bowel movement at this time.']""}]"
蹲坑,"stake out; station (police, detectives, etc.)for surveillance of a suspected criminal, a place, etc.","[{""sentence"": ""['他被派到罪犯家附近蹲坑，监视罪犯的活动。']"", ""translation"": ""['He was sent to stake out the house and keep an eye on the criminal’s activities.']""}]"
耳朵根子软,soft ear/A person who is easily swayed by other’s words.,"[{""sentence"": ""['他耳朵根子软，所以时常改变主意。']"", ""translation"": ""['He’s vulnerable to talk, so he often changes his mind.']""}]"
二等公民,second-class citizen/ A term that refers to migrants or citizens not born in the country.,"[{""sentence"": ""['他从美国回来了，因为他不愿在那儿做二等公民。']"", ""translation"": ""['He came back from the United States because he doesn’t like to be a second-class citizen there.']""}]"
二乎,withdraw; retreat(because one is scared),"[{""sentence"": ""['他遇到困难从不二乎。']"", ""translation"": ""['He never retreats when he is in trouble.']""}]"
二进宫,take into custody for the second time; put in prison for the second time,"[{""sentence"": ""['在释放三个月后他因抢劫二进宫了。']"", ""translation"": ""['Three months after he was set free, he was jailed again for robbery.']""}]"
二十一遥,21-inch remote control color television,"[{""sentence"": ""['她把二十一遥卖了，又买了一台更大的彩电。']"", ""translation"": ""['She sold her 21-inch remote control color television and bought a bigger one.']""}]"
发福,put on weight ; get fat; plump (a euphemism),"[{""sentence"": ""['自从一年前见过你以后，你又发福了。']"", ""translation"": ""['You’ve swelled out again since I saw you a year ago.']""}]"
发毛,be afraid of; be terrified; be scared,"[{""sentence"": ""['夜里的尖叫声让我听了直发毛。']"", ""translation"": ""['I was terrified when I heard the shriek at night.']""}]"
发蒙,be confused; be at a loss; get into a muddle,"[{""sentence"": ""['当他问我这个问题时，我还真有些发蒙。']"", ""translation"": ""['I got into a muddle when he asked me the question.']""}]"
发烧音响,"the latest, most hi-tech sound system","[{""sentence"": ""['他很了解发烧音乐的市场行情。']"", ""translation"": ""['He knows a lot about the prices of the latest and most hi-tech sound systems.']""}]"
反炒,quickly-fry something in a backward way/Drawing public attention with negative spiel in the mass media.,"[{""sentence"": ""['这本小说是因为反炒才一跃成为畅销书的。']"", ""translation"": ""['This novel jumped to be a best seller because it was plugged damming.']""}]"
犯不着,unnecessary; not worthwhile,"[{""sentence"": ""['算了，我们自己人修这辆车自行车。为这点儿小毛病犯不着跟他生气。']"", ""translation"": ""['Well, let’s repair the bicycle by ourselves. It’s pointless to get angry with him for such a small problem.']""}]"
犯各,act differently; do things in a strange or unusual manner,"[{""sentence"": ""['你按着我的要求在这儿站直了，别犯各。', '他总在我面前犯各，不听我的命令。']"", ""translation"": ""['Stand still here as I ordered. Don’t do anything else.', 'He always acts differently in front of me and doesn’t listen to what I say.']""}]"
饭局,dinner party; fete,"[{""sentence"": ""['今晚我有饭局，回来要晚一些。']"", ""translation"": ""['I have been invited to a dinner this evening, so I will come back a bit late.']""}]"
范儿,style; design; pattern; form,"[{""sentence"": ""['今年新潮范儿的高宽跟鞋开始风行起来。']"", ""translation"": ""['The new style of high-and broad-heeled shoes has come into fashion this year.']""}]"
方,ten thousand yuan,"[{""sentence"": ""['光买一套沙发他就花了一方。']"", ""translation"": ""['He spent ten thousand yuan all for one set of sofa.']""}]"
放电,(electric) discharge/A metaphor for expressing passion between the sexes.,"[{""sentence"": ""['飞龙的眼睛会放电，难怪见过他的女孩子都有会被迷住。']"", ""translation"": ""['Feilong’s eyes can express strong passion. No vonder all the grils who have ever met him tend to be attracted by him.']""}]"
放鸽子,to break an appointment; to stand someone up,"[{""sentence"": ""['昨天他竟然放我鸽子，害得我大冷天在车站等了他一个小时']"", ""translation"": ""['How dare he stand me up yesterday! He made me wait for an hour in the cold, and he never showed up.']""}]"
放空,"an automobile with no passengers in it, usually it refers to a taxi","[{""sentence"": ""['出租汽车司机都怕回来放空。那个地区人少，所以没人愿意拉人去那儿。']"", ""translation"": ""['All taxi drivers are afraid of driving back without passengers. Since there are few people living there, no taxi driver likes to take customers there.']""}]"
放一码,let a person (usually a criminal) off; have mercy on; forgive ; release,"[{""sentence"": ""['小偷求年轻的警察放他一码，并且把全部赃物交给警察。']"", ""translation"": ""['The thief returned all the stolen goods and begged the young policeman to let him off.']""}]"
匪,rough; loutish; hooliganish; thuggish,"[{""sentence"": ""['那个小子虽说蹲了三年的大狱，可看上去还是那么匪。']"", ""translation"": ""['That fellow, 'although re-educated in jail for three years', still has a hooliganish look.']""}]"
粉丝,"fans (of movie, pop music, ball games, etc.)","[{""sentence"": ""['随着“超女”比赛的白热化，无数粉丝变得越来越疯狂。']"", ""translation"": ""['As the“Super girl” contest became white-hot, numerous fans became more and more excited.']""}]"
风光,have fame; have status; enjoy a luxury life,"[{""sentence"": ""['荣获拳击冠军之后，他的确风光了一阵子。']"", ""translation"": ""['After he won the boxing championship, he really became a man of the hour for a period.']""}]"
福分,good fortune; happy hot,"[{""sentence"": ""['有这么一位好老婆是你的福分。']"", ""translation"": ""['It’s your stroke of luck to have such a good wife.']""}]"
富姐,a rich woman,"[{""sentence"": ""['如今在独身主义者中有相当一部分人是富姐，自己有房子有车，还有一份高薪的工作。']"", ""translation"": ""['Nowadays, 'there are quite a few rich women among the bachelors. They have their own apartments', 'cars', and a highly paid job.']""}]"
富态,plump ; stout; fat/A polite way to address someone who is overweight.,"[{""sentence"": ""['你越来越富态了。']"", ""translation"": ""['You’re getting chubbier and chubbier.']""}]"
玍,bad tempered; odd; eccentric; peculiar,"[{""sentence"": ""['这家伙有点玍。']"", ""translation"": ""['This fellow is a queer specimen.']""}]"
该着,ought to; certainly; naturally,"[{""sentence"": ""['我听说你最近升官了，所以这顿饭该着由你请。']"", ""translation"": ""['I heard you got a promotion recently, so you certainly should treat me to this meal.']""}]"
丐帮,group of beggars/ A term that refers to a group of people who live off begging.,"[{""sentence"": ""['现在在车站行乞的人来自不同的丐帮。']"", ""translation"": ""['Now most beggars in railway stations came from different beggar groups.']""}]"
盖帽子,cream of the crop; superexcellent; the best of all/A term originally used in basketball referring putting the ball through the hoop.,"[{""sentence"": ""['中国女子排球队盖帽儿了。']"", ""translation"": ""['The Chinese women volleyball team is the best.']""}]"
干货,dried goods/A metaphor for high value or expensive things,"[{""sentence"": ""['这次我老爸从回来带了不少的干货。有时间你就过来看看。']"", ""translation"": ""['This time my father brought back many expensive things from Japan. Come over a look if you have time.']""}]"
肝儿颤,have a shaken liver; be scared; tremble with fear; be terrified,"[{""sentence"": ""['一听说明天要考试，他就肝儿颤。', '只要别人一请他做报告，他就有点儿肝儿颤。']"", ""translation"": ""['He is scared stiff to hear that he will take an examination tomorrow.', 'He trembles with fear at the thought of being asked to give a speech.']""}]"
赶趟儿,have time for; be in time for,"[{""sentence"": ""['如果我们现在去火车站还赶趟儿。']"", ""translation"": ""['We can be in time for the train if we leave right now for the railway station.']""}]"
港,fashionable; stylish,"[{""sentence"": ""['两年不见你变了，比以前港多了。']"", ""translation"": ""['I haven’t seen you for two years. You’re even more fashionable than before.']""}]"
港客,compatriots in Hong Kong and Macao who come to the mainland,"[{""sentence"": ""['他请港客吃饭去了。']"", ""translation"": ""['He invited his Hong Kong friends for a meal.']""}]"
港仔,Hong Kong lad,"[{""sentence"": ""['我刚刚认识了一个港仔，他教了我几句广东话。']"", ""translation"": ""['I’ve just met a boy from Hong Kong, who taught me a little Cantoness.']""}]"
杠头,stubborn person; person which a one-track mind,"[{""sentence"": ""['你可真是人杠头，你就不会先做这个后做那个吗？']"", ""translation"": ""['You really have a one-track mind. Why don’t you do this first and that later?']""}]"
高宰,charge an exorbitant price (so as to swindle),"[{""sentence"": ""['街头小贩通常喜欢高宰有钱的人。']"", ""translation"": ""['Street vendors usually charge the rich exorbitant prices.']""}]"
搞定,settle; fix; decide; ascertain; make sure,"[{""sentence"": ""['今天总经理不在，所以这个计划无法搞定。我们只有等到明天再说了。']"", ""translation"": ""['The general manager is not in today so this plan can’t be settled. We have to wait till tomorrow.']""}]"
搞笑,(words or actions) meant to amuse or to cause laughter,"[{""sentence"": ""['这部新片中有许多搞笑的镜头，吸引了不少的观众，票房收入跃居第一。']"", ""translation"": ""['This new film is full of amusing scenes that itt has attracted many viewers and its box-office value has leaped to first place.']""}]"
各,out of the ordinary; peculiar; different from others; odd/A term mostly used to describe one’s character or disposition.,"[{""sentence"": ""['他特别各，从不让人碰或借他的书。']"", ""translation"": ""['He is very peculiar. He never lets others touch his books or borrow them.']""}]"
各色,"odd, eccentric","[{""sentence"": ""['我丈夫特别各色，别人很难与他相处。']"", ""translation"": ""['My husband is quite eccentric, others find him hard to work with.']""}]"
给他一大哄,boo someone; gather together to jeer at someone; hoot at someone,"[{""sentence"": ""['她唱得真难听，让我们给她一大哄。']"", ""translation"": ""['She sings so bad. Let’s boo her.']""}]"
跟风,to follow the trends; do as others do,"[{""sentence"": ""['自从《哈里·波特》系列书问世并畅销全球以来，许多出版社纷纷跟风随后出版了不少有关魔法故事的图书。']"", ""translation"": ""['Since the Harry Potter series were published and became a global success, many publishers have followed the trend and published books about magic stories.']""}]"
根儿硬,be backed up; have strong support; have connections,"[{""sentence"": ""['我知道我比不上他，因为他根儿硬。']"", ""translation"": ""['I know I can’t compare with him because he has strong support(connections).']""}]"
艮,straightforward; stubborn; blunt; forthright,"[{""sentence"": ""['他这人太艮，不好与人相处。']"", ""translation"": ""['He is too blunt to work with other people.']""}]"
公了,solve or settle sth. in a proper manner or according to public regulations/Usually refers to resolution of a problem or dispute by going to court or according to official principles.,"[{""sentence"": ""['他不想公了，因为交通民警会扣他的驾驶执照。']"", ""translation"": ""['He doesn’t want to solve the problem in the proper way because the police will take away his driving license.']""}]"
公鸭嗓子,drake’s voice; raucous voice/A voice which is husky and flat.,"[{""sentence"": ""['我想没有喜欢听你这个公鸭子嗓子唱歌。']"", ""translation"": ""['I don’t think people like to hear you sing since you’ve got a raucous voice.']""}]"
够档次,reach a certain(high)level; be up to standard; be up to par,"[{""sentence"": ""['你这房子装修得真够档次，跟宾馆相差无几。']"", ""translation"": ""['The house you decorated is up to hotel standards.']""}]"
鼓捣,tinker with; fiddle with,"[{""sentence"": ""['他喜欢鼓捣电视机。']"", ""translation"": ""['He likes to tinker with the television.']""}]"
骨头轻,light bones/A term describing women who are not self-possessed and behave frivolously.,"[{""sentence"": ""['她这人骨头轻，总爱招引男人。']"", ""translation"": ""['She’s got light bones and likes to flirt with men.']""}]"
挂号,establish a criminal record,"[{""sentence"": ""['你该格外小心，因为你已在公安局挂过号了。']"", ""translation"": ""['You should be very careful because you have already established a criminal record with the police.']""}]"
怪才,one with outstanding artistic talent; a talented person,"[{""sentence"": ""['红高梁的导演张艺某被誉为中国电影界的怪才。']"", ""translation"": ""['Zhang Yimou, director of the film“Red Sorghum” is known for his extraordinary artistic talent in Chinese film circles.']""}]"
官盖,the best of all; extremely good,"[{""sentence"": ""['你若系上这条皮带，官盖。']"", ""translation"": ""['It would look the best if you wore this belt.']""}]"
光溜,smooth; slippery,"[{""sentence"": ""['这块丝绸真光溜。', '脚下留神。这种大理石地面太光溜了。']"", ""translation"": ""['This silk is really smooth.', 'Be careful when you walk on the marble floor. It’s very slippery.']""}]"
鬼,smart; clever,"[{""sentence"": ""['这孩子鬼着呢，总钻我们的空子。']"", ""translation"": ""['This boy is very smart. He always exploits our loopholes.']""}]"
鬼佬,foreigner(impolite term),"[{""sentence"": ""['你不知道鬼佬最爱吃中国菜，所以中餐馆的生意在海外总那么兴隆。']"", ""translation"": ""['Don’t you know that foreigners like Chinese food? That’s why business in Chinese restaurants is always so prosperous.']""}]"
鬼子烟,imported cigarette(mainly from the United States and Britain),"[{""sentence"": ""['他爱抽鬼子烟，喝威士忌酒。']"", ""translation"": ""['He likes to smoke imported cigarettes and drink whiskey.']""}]"
国际倒儿爷,transnational goods speculator; international goods profiteer,"[{""sentence"": ""['大多数国际倒儿爷都到秀水街买服装，所以这条街的生意就变得格外红火。']"", ""translation"": ""['Most international traders come to buy clothes in Xiushui Street, which has resulted in a great boom for business.']""}]"
过,overdo sth. ; go too far,"[{""sentence"": ""['我认为在这个剧中你的表演有些过了。']"", ""translation"": ""['I think you overdid your part in the play.']""}]"
哈韩族,young people who love Korean pop songs or TV dramas,"[{""sentence"": ""['你知道吗？这次参加青年歌手大赛的人当中有相当一部分人是哈韩族。']"", ""translation"": ""['Do you know, most of the people who participated in this Young Singers’ Contest are young people who love Korean pop songs?']""}]"
孩子王,head of children,"[{""sentence"": ""['他小的时候就是孩子王。']"", ""translation"": ""['He was the children’s leader when he was young.']""}]"
海,plenty; extremely large,"[{""sentence"": ""['海口。']"", ""translation"": ""['big talk']""}]"
号贩子,someone who scalps registration tickets,"[{""sentence"": ""['医院明知这些号贩子的身份却因无执法权而难以将他们驱逐出医院。']"", ""translation"": ""['Hospitals know exactly who these registration-ticket scalpers are, but they’re unable to drive them out of the hospitals because they don’t have the legal right to do so.']""}]"
盒饭,boxed meal /A meal of rice and aside dish in a box,"[{""sentence"": ""['我出差或外出旅行时常在火车上吃盒饭。']"", ""translation"": ""['I usually eat boxed meals on the train when I go on business or trips.']""}]"
犄角旯旮儿,corner; nook; quiet and secluded place; out-of-the way place,"[{""sentence"": ""['我不知道那只猫躲在哪个犄角旯旮儿里。']"", ""translation"": ""['I don’t know in which corner the cat is hiding.']""}]"
急茬儿,urgent matter,"[{""sentence"": ""['每次他来找我，我就知道又是急茬儿，否则他才不会大驾光临呢。']"", ""translation"": ""['Every time when he visits me, 'I know there must be something urgent', otherwise he wouldn’t come himself.']""}]"
急赤白脸,burning with impatience; looking pale with worry; extremely pressing,"[{""sentence"": ""['她急赤白脸地找到我，问我是否看到过她的钥匙。', '看他那副急赤白脸的样子，仿佛谁抢了她的钱似的。']"", ""translation"": ""['She came to me in an extreme hurry and asked whether I saw her keys.', 'He looked hyperanxious, as if someone had taken away all his money.']""}]"
加盟,take part in ; join; participate,"[{""sentence"": ""['他离开山东篮球队加盟北京篮球队。']"", ""translation"": ""['He left the Shangdong basketball team and joined the Beijing team.']""}]"
家庭号,family-size box of ice-cream,"[{""sentence"": ""['我想买一个家庭号冰淇淋。']"", ""translation"": ""['I’ll buy a family-size box of ice-cream.']""}]"
架秧子,(of a crowd of people)create a disturbance; make trouble,"[{""sentence"": ""['你们都回去，该干嘛就干嘛去。别围在这儿跟着起哄架秧子。']"", ""translation"": ""['All of you go back and do what you should do. Don’t stand here and make troubles.']""}]"
拣软的捏,choose the weak to bully; take advantage of the coward,"[{""sentence"": ""['谁都爱拣软的捏。']"", ""translation"": ""['Everyone likes to take advantage of the weak.']""}]"
矫情,use lame arguments; resort to sophistry; willfully make trouble,"[{""sentence"": ""['我再也不跟他打交道了。他就爱跟人矫情。']"", ""translation"": ""['I’ll never have any dealings with him. He likes to use lame arguments.']""}]"
窖,deposit(in the bank); save; store,"[{""sentence"": ""['大多数人宁愿将钱窖起来，也不愿玩股票。']"", ""translation"": ""['Most people prefer to save their money rather than buy stocks.']""}]"
叫板,challenge; ask for trouble; pick a quarrel,"[{""sentence"": ""['他才从武术训练班毕业，你怎么敢跟他叫板。']"", ""translation"": ""['How dare you challenge him! He has just graduated from martial arts school.']""}]"
叫倒好,hoot,"[{""sentence"": ""['一些观众不喜欢那位歌手，二是他们就不停地吹口哨，叫倒好。']"", ""translation"": ""['Some of the audience didn’t like the singer, so whistled and hooted endlessly in the theater.']""}]"
叫（较）针儿,argue; wrangle,"[{""sentence"": ""['她就爱跟人叫针儿。']"", ""translation"": ""['She likes to argue with people.']""}]"
叫座,"(of a play, movie, show) very popular; a box-office success; draw a large audience","[{""sentence"": ""['真没想到这部电影居然这么叫座。']"", ""translation"": ""['No one expected that this movie would be such a great box-office success.']""}]"
姐们儿,sisters; sister; pals; close female friends/A term used among women to address close friends.,"[{""sentence"": ""['你的姐们儿都很想你。她们决定明来来看你。']"", ""translation"": ""['Your sisters(female friends)are missing you a lot. They have decided to come and see you tomorrow.']""}]"
警花,policewoman,"[{""sentence"": ""['她也想像姐姐一样成为一名警花。']"", ""translation"": ""['She aspires to be a policewoman like her elder sister.']""}]"
卷地,pack up the stall,"[{""sentence"": ""['今天生意不好，他早早地就卷地，回家了。']"", ""translation"": ""['There wasn’t much business today, so he packed up the stall early and left for home.']""}]"
绝代佳人,"Originally it means a woman of matchless beauty. Now by playing with the words people jocularly use it to refer to a young woman of beauty who does not produce a male heir, only a girl, for her husband.(According to an old custom only a male heir can continue a family line.)","[{""sentence"": ""['老赵跟他老婆戏言说他这辈子是难圆儿子梦了，因为他娶了一位绝代佳人。']"", ""translation"": ""['Lao Zhao said jokingly to his wife that he could never make his dream of having a son come true because he had married a woman of beauty who will not produce a male heir.']""}]"
倔驴,bullheaded mule/A metaphor for someone who is stubborn and straightforward.,"[{""sentence"": ""['他是头倔驴。']"", ""translation"": ""['He is as stubborn as a bullheaded mule.']""}]"
军嫂,soldier’s wife,"[{""sentence"": ""['她被誉为好军嫂。']"", ""translation"": ""['She is regarded as a model soldier’s wife.']""}]"
咔哧,scrape off with a knife,"[{""sentence"": ""['他们打扫房间并把墙上的字都咔哧干净了。']"", ""translation"": ""['They swept the house and scraped all the letters off the wall.']""}]"
擖油,take advantage of someone; profit at someone else’s expense; abuse a privilege,"[{""sentence"": ""['她常跟父亲逛商场，擖父亲的油。']"", ""translation"": ""['She often goes shopping with her father and takes advantage of his money.']""}]"
开练,start working,"[{""sentence"": ""['等东西一到我们就开练。']"", ""translation"": ""['We’ll start working as soon as the materials arrive.']""}]"
开溜,escape; run away; sneak away; slink off,"[{""sentence"": ""['今天下午有个重要的会，谁敢开溜呀。']"", ""translation"": ""['We’ll have an important meeting this afternoon. Who dares to sneak off?']""}]"
开涮,make fun of; make a fool of,"[{""sentence"": ""['他跟这帮朋友太熟了，所以他们拿他开涮他从不生气。']"", ""translation"": ""['He knows his friends very well, so he never gets angry when they make fun of him.']""}]"
开洋荤,enjoy a foreign lifestyle; enjoy foreign food,"[{""sentence"": ""['多数中国人喜欢开洋荤，难怪美国的局快餐食品在中国卖得这么火。']"", ""translation"": ""['Most Chinese people like foreign food. That’s why American fast food is booming in China.']""}]"
看堆儿,keep an eye on sth. ; watch over sth.,"[{""sentence"": ""['他父母把买来的水果放下，让她看堆儿，然后转身又去买衣服了。']"", ""translation"": ""['His parents asked her to keep an eye on the fruits they just bought and then went shopping for clothes.']""}]"
侃大山,chat,"[{""sentence"": ""['他整天不干事，只知道侃大山。']"", ""translation"": ""['He does nothing but sit around and chat.']""}]"
侃价,bargain; haggle with a peddler,"[{""sentence"": ""['你得学会如何在自由市场上侃价，否则就要吃亏。']"", ""translation"": ""['You have to learn how to bargain in the free market or you’ll be ripped off.']""}]"
