sentence_s,sentence_t
She is regarded as a model soldier’s wife.,她被视为模范军人的妻子。
They swept the house and scraped all the letters off the wall.,他们打扫了房子，把墙上的所有字母都刮掉了。
She often goes shopping with her father and takes advantage of his money.,她经常和她父亲一起购物，并利用他的钱。
We’ll start working as soon as the materials arrive.,我们将在材料到达后立即开始工作。
We’ll have an important meeting this afternoon. Who dares to sneak off?,我们今天下午有一个重要会议。谁敢偷偷溜走？
"He knows his friends very well, so he never gets angry when they make fun of him.",他非常了解他的朋友们，所以当他们取笑他时，他从不生气。
Most Chinese people like foreign food. That’s why American fast food is booming in China.,大多数中国人喜欢外国食物。这就是为什么美国快餐在中国蓬勃发展的原因。
His parents asked her to keep an eye on the fruits they just bought and then went shopping for clothes.,他的父母让她照看他们刚买的水果，然后去购物买衣服。
He does nothing but sit around and chat.,他除了坐着聊天什么都不做。
You have to learn how to bargain in the free market or you’ll be ripped off.,你必须学会在自由市场中讨价还价，否则你会被宰。
My friend is a real chatterbox. You won’t get bored working with him.,我的朋友是个真正的健谈者。和他一起工作，你不会感到无聊。
He is one of the biggest talkers in the building.,他是大楼里最爱说话的人之一。
Don’t kiss me now. I don’t like other people to see our private life.,不要现在亲我。我不喜欢让其他人看到我们的私生活。
Several days ago he didn’t expect that the value of this stamp would rise.,几天前，他没想到这枚邮票的价值会上涨。
I had a bowl of“Chef Kang” instant noodles for my breakfast.,我早餐吃了一碗“康师傅”方便面。
I have to stand it no matter how hard the work is.,我必须忍受，无论工作多么艰难。
He only gave me a pager number and told me to call him when I needed to find him.,他只给了我一个传呼机号码，并告诉我需要找他时打电话给他。
The street vendor makes at least three hundred yuan a day.,街头小贩每天至少赚三百元。
Did you make this dumpling? It’s so ugly.,你是自己做的这个饺子吗？太丑了。
You shouldn’t make Xiao Wang out to be completely lacking in redeeming qualities. He’s got his good points.,你不应该把小王说得完全没有可救赎的优点。他还是有一些优点的。
Actually you didn’t do it right. How come you wouldn’t let them scold you.,实际上你没有做对。你怎么会不让他们骂你呢？
"The college entrance exams are around the corner, but he became sick at the critical moment.",高考即将来临，但他在关键时刻生病了。
Every time you fly you can enjoy the warmth and good services given by the married stewardesses of CAAC.,每次飞行时，您都可以享受到中国民航总局的已婚空姐们提供的温暖和优质服务。
Be careful when you take a public bus for you might be the target of those petty thieves.,乘坐公共汽车时要小心，因为你可能会成为那些小偷的目标。
"I heard that we will have a salary rise this October. It won’t be an empty promise again this time, will it?",我听说我们在十月份会涨工资。这次不会又是空头承诺吧？
Furniture was listed as a controlled commodity for office use several years ago.,几年前，家具被列为办公使用的受控商品。
This brand of television has been sold here for several years and had a good reputation. It has a good market in this city.,这款电视在这里销售了几年，口碑很好。在这个城市有良好的市场。
A--Do you still remember the most popular expression used in China in the 1970s?\\nB--Of course I do.“In Chairman Mao’s name.” how could I ever forget it!,A--你还记得1970年代在中国最流行的表达吗？\\nB--当然记得。“以毛主席的名义。”我怎么可能忘记呢！
She bought some lumps of sugar for her child.,她为她的孩子买了一些糖块。
He started growing flowers five years ago. Now he’s considered a rich man in the small town.,他五年前开始种花。现在他被认为是这个小镇上的富人。
"She is a rich woman now. Every time she goes out, she takes a taxi.",她现在是个富有的女人。每次出门，她都打出租车。
"He is very arrogant, but quite useless.",他非常傲慢，但毫无用处。
"I’ll return this book after I finish it. If you don’t believer me, we’ll pull fingers on it.",我看完这本书后会把它还回来。如果你不相信我，我们可以打个勾。
Be careful dealing with her. She is know as a vixen.,小心和她打交道。她被称为狐狸精。
The factory will close down if it runs out of business.,如果工厂失去业务，它将关闭。
They got pumped up the minute they heard about the competition with the other team.,他们一听到与其他队伍的比赛就兴奋不已。
You are smart.,你很聪明。
Your working conditions are not bad.,你的工作条件不错。
The old like to wear lazy man’s shoes because they are soft and comfortable and easy to put on and take off.,老人喜欢穿懒人鞋，因为它们柔软舒适，穿脱方便。
He always takes something back whenever he goes home.,他每次回家时总会带回一些东西。
She is one of the top ten model workers in the country.,她是全国十大模范工作者之一。
"Don’t bother me, you old fogy.",别打扰我，老古董。
Where’s the old fart gone ? It’s getting dark.,老家伙去哪儿了？天快黑了。
He wants to see your head and has something important to discuss.,他想见你，并且有重要的事情要讨论。
He is very shrewd and sophisticated. You are no match for him.,他非常精明和老练。你不是他的对手。
I’m a layman in the trade.,我在这个行业是个外行。
Her hubby is a driver.,她的丈夫是一名司机。
You’d better tell your parents  about your plan to go abroad to study just in case they are worried about you because they thought you couldn’t find a job.,你最好告诉你的父母你出国留学的计划，以防他们担心你，因为他们认为你找不到工作。
You’re such a hick- you don’t even know what a pager is.,你真是个乡巴佬——你连传呼机是什么都不知道。
She thinks she’s so old and ugly that noting will look good on her.,她觉得自己又老又丑，什么都不适合她。
My husband is a typical slowpoke. He does things so slowly that anyone watching feels exasperated.,我的丈夫是个典型的慢性子。他做事情的速度慢得让任何旁观的人都感到恼火。
"Two years ago there were many mouse associations all over the country. I heard of them, but didn’t join in.",两年前，全国各地有很多老鼠协会。我听说过它们，但没有加入。
She married a foreigner and went abroad.,她嫁给了一个外国人，去了国外。
"You can come today because my father’s not at home.', 'You have to speak louder to the old man. His hearing is bad.",你今天可以来，因为我父亲不在家。你需要对老人说话大声一点。他的听力不好。
Her dad is a high-ranking official.,她的爸爸是一位高级官员。
We haven’t seen each other for years. Let’s have a good gab tonight.,我们已经好几年没见面了。今晚好好聊聊吧。
How could you feel at ease making the little child do such heavy work?,你怎么能安心让小孩子做这么重的活呢？
The thief was tailed by a cop.,小偷被一名警察跟踪。
Why are you standing here staring blankly?,你为什么站在这里发呆？
There are seven days in a week.,一周有七天。
I will go at once if it is urgent.,如果很紧急，我会立刻去。
She talked with her friends and ignored me.,她和她的朋友们聊天，忽视了我。
The return of Macao to her motherland was no doubt one of last year’s attention attracting events.,澳门回归祖国无疑是去年最引人注目的事件之一。
He is the most popular good looking man in the movie and television circles.,他是影视圈中最受欢迎的帅哥。
I’ll take a beach vacation after the task is over .,我会在任务结束后去度假海滩。
A head hunting agency is a service company which engages in head hunting and recommending required talents to its agents .,猎头机构是一家服务公司，专门从事猎头工作，并向其代理推荐所需的人才。
Who can help me throw these odds and ends out of the room ?,谁能帮我把这些杂物扔出房间？
He is trying a completely new way of writing and doesn’t care whether others will consider his work special or not .,他正在尝试一种全新的写作方式，并不在乎别人是否会认为他的作品特别。
She speaks English very fluently .,她说英语非常流利。
My hands are dirty .Could you help me push up my sleeves ?,我的手很脏。你能帮我把袖子挽起来吗？
He slapped the guy’s face hard .,他用力扇了那个家伙一巴掌。
He walloped that guy in the face .,他狠狠地打了那个家伙的脸。
Loneliness is the greatest enemy of widows widowers .,孤独是寡妇和寡夫最大的敌人。
"pile up the books in the corner.', 'She helped me put the clothes in order according to size.",将书堆放在角落里。她帮我把衣服按大小整理好。
Xiao Li became a housewife after she got married.,小丽结婚后成为了一名家庭主妇。
"Although he’s very arrogant now, he looks weak and incompetent as soon as he sees cop.",虽然他现在非常傲慢，但一看到警察，他就显得软弱无能。
He plans to take his girlfriend to see a movie tonight.,他计划今晚带女朋友去看电影。
"If you get to the heart of the matter, you’ll solve the problem easily.",如果你抓住问题的核心，你就能轻松解决这个问题。
Customers pay more attention to the packaging of goods than to the goods themselves.,顾客对商品的包装比对商品本身更为关注。
He is quite a capable man.,他是个相当能干的人。
Believe me. I’ll have your teeth knocked off next time if you come to trouble me.,相信我。如果你下次再来惹我，我会让你牙齿掉光的。
"You have a joyful book, not like me with my weather-worn face. No doubt girls all like to talk with you.",你有一本快乐的书，不像我有着风霜满面的脸。毫无疑问，女孩们都喜欢和你聊天。
"She was a very pretty girl thirty years ago, but now her face is full of wrinkles.",她三十年前是个非常漂亮的女孩，但现在她的脸上布满了皱纹。
She has been busy for three days on account of her wedding.,她因为婚礼忙了三天。
"Why on earth are you hiding there?', 'He stole some money and went underground.","Here is the translation of your text into Chinese:

“你到底为什么躲在那里？” “他偷了一些钱，逃到地下去了。”"
He can see everything clearly through the peephole on the door without having to open it.,他可以通过门上的窥视孔清楚地看到一切，而不必打开门。
Since last month the price of the Beijing Evening Daily has risen from four mao(forty fen)to five mao(fifty fen).,自上个月以来，《北京晚报》的价格从四毛（四十分）上涨到五毛（五十分）。
He is well off. It doesn’t matter at all if we put the price up a little bit.,他很富有。如果我们稍微提高一点价格，完全没关系。
In the stamp market one commemorative stamp of Mao Zedong can be sold at one thousand yuan RMB.,在邮票市场上，一枚毛泽东的纪念邮票可以卖到一千元人民币。
"He’s always an obedient husband, and never loses his temper.",他总是一个听话的丈夫，从不发脾气。
I haven’t had a deal for three days because of the rain.,我已经三天没有成交了，因为下雨。
You’re really a bumpkin. How could you wear this suit without removing the label from the sleeves. There is no doubt that people would have laughed at you.,你真是个乡巴佬。你怎么能穿着这套西装而不把袖子上的标签摘掉呢？毫无疑问，人们会嘲笑你的。
"I was injured by a dog so whenever I see one, I’ll turn a hostile look on it.', 'I always speak impolitely to him because I don’t like him.",我曾被一只狗咬过，所以每当我看到狗时，我就会用敌意的目光盯着它。我总是对他说话不礼貌，因为我不喜欢他。
Don’t depend on me. I have no ideas how to get more tickets.,不要依赖我。我不知道怎么才能获得更多的票。
"You have to wait longer because the matter has not been settled yet.', 'You have to wait longer because the matter has not been settled yet.",你需要等更久，因为这个问题还没有解决。
He is good-for-nothing,他一无是处。
"You needn’t go to see him. No matter what he decides, 'right or wrong', he won’t change his mind.",你不需要去见他。无论他决定什么，‘对或错’，他都不会改变主意。
There’s no way for you to get promoted. You’re not the person they want.,你没有办法得到晋升。他们不想要你。
She always gets anxious when she doesn’t receive a letter from her son.,她总是在没有收到儿子的信时感到焦虑。
I have no solution if they don’t agree to let you go.,如果他们不同意让你离开，我就没有办法。
I found a purse which nobody claimed.,我找到了一只没人认领的钱包。
Perhaps he won’t come today.,也许他今天不会来。
"Look, how delighted he is! Something good must have happened.",看，他多么高兴啊！一定发生了什么好事。
There are many pretty girls in your company. Would you introduce one to me someday?,你们公司有很多漂亮的女孩。你能在某天介绍一个给我吗？
China is known as a country of delicious fare with a rich cuisine.,中国被誉为美食之国，拥有丰富的烹饪文化。
She’s just come back from the United States. She must have a lot of US dollars.,她刚从美国回来。她一定有很多美元。
You’d better have a shave and a haircut.,你最好剃个胡子，剪个头发。
He suggested that everyone down their wine.,他建议大家喝完自己的酒。
"We grew up together, so he knows me like the back of his hand.",我们一起长大，所以他对我非常了解。
"This newspaper published a lot of big, 'unexpected news when it hit the market', and attracted many readers.",这家报纸发布了很多“大新闻，‘意外地在市场上出现’”，吸引了许多读者。
Don’t bother me. I want to have a nap.,别打扰我。我想小睡一下。
He is lax about doing things.,他做事情很马虎。
Most people prefer the minivan taxis because they are cheap and practical.,大多数人更喜欢厢型车出租车，因为它们便宜且实用。
She dreams of becoming a supermodel one day.,她梦想有一天能成为超级模特。
The economic reforms are a matter of vital importance in China’s future development.,经济改革是中国未来发展的至关重要问题。
The imitation show program organized by Beijing Cable Television Station has attracted many young participants from all over the country.,由北京有线电视台组织的模仿秀节目吸引了来自全国各地的许多年轻参与者。
Have I got nothing to do so I argue with you here?,我难道没事可做，所以在这里和你争论吗？
"Don’t hesitate. If you really like it, buy it.', 'Hurry up! Don’t dawdle.",不要犹豫。如果你真的喜欢，就买下它。快点！不要磨蹭。
What’s the use of this piece of wood you brought back?,你带回来的这块木头有什么用？
He never gives himself airs in front of people and does whatever you ask for.,他从不在别人面前摆架子，愿意满足你的要求。
In the two years he acquired many profitable projects by relying on his various relations.,在这两年里，他通过依靠各种关系获得了许多有利可图的项目。
It’s odd to see the phenomenon where intellectuals are earning less than workers.,看到知识分子的收入低于工人，这种现象真是奇怪。
"The bad news made me terribly upset.', 'Turn down the disco music a little bit. It makes me feel restless.",坏消息让我非常沮丧。请把迪斯科音乐调小一点。它让我感到不安。
He has great ability though he is only a little boy.,他虽然只是个小男孩，但能力很强。
She is always quiet and seldom speaks to others.,她总是很安静，很少和别人说话。
"He looks very honest, but he does had things in secret.",他看起来很诚实，但他确实有秘密的事情。
This kind of glue is very sticky.,这种胶水非常粘。
"He speaks Cantonese whenever he calls his girlfriend, so as to keep us from understanding what he says.",他每次打电话给女朋友时都说粤语，以此来让我们听不懂他说的话。
Since he became rich he’s become very arrogant .,自从他变得富有以来，他变得非常傲慢。
I was unlucky today to meet a customer who was so hard to deal with .,我今天运气不好，遇到了一个很难应对的客户。
What could you be cocky about ?You’re got neither bags of money nor a beautiful house .,你有什么好自满的？你既没有大把的钱，也没有漂亮的房子。
"They are known as progressives of the age .', 'Large numbers of groundbreakers have emerged since the economic reform .",他们被称为时代的进步者。自经济改革以来，大量的开拓者涌现出来。
He heard loud cheers of“Oh Yeh” in the classroom as soon as he finished announcing the news of an outing the next day.,他刚宣布第二天的外出消息，教室里就响起了“哦耶”的欢呼声。
The traffic accident yesterday happened to be seen by a taxi driver who had stopped at the roadside to wait for business. He was the only witness to the accidents.,昨天的交通事故恰好被一位在路边停下等待生意的出租车司机目击。他是事故的唯一目击者。
She ate something and left in a hurry.,她吃了点东西，然后匆忙离开了。
I haven’t seem him for a few days. I guess he’s been chasing a young woman.,我已经几天没见到他了。我想他一直在追一个年轻女人。
He looks quite impressive in his new suit.,他穿上新西装看起来非常出色。
Your girlfriend is good–looking.,你的女朋友很好看。
Why is there so much water here ? There must be flooding somewhere nearby .Bet’s go and check it out right away.,这里为什么有这么多水？附近一定有洪水。我们赶快去看看吧。
"He often flirting with girls in bars after work.', 'Where has he gone? He must be flirting with girls somewhere",他下班后经常在酒吧里和女孩调情。' '他去哪儿了？他一定是在某个地方和女孩调情。
He’s poorly educated because his mouth is full of dirty words when he gets angry.,他受教育程度不高，因为他生气时满口脏话。
Don’t trust him fully when you do business with him. His company is only a briefcase company.,在与他做生意时，不要完全信任他。他的公司只是一个空壳公司。
He played the role of a little rascal in a movie.,他在一部电影中扮演了一个小调皮的角色。
"Many people can’t afford to buy a motorcycle, so they assemble bicycles with motors.",许多人买不起摩托车，所以他们组装带发动机的自行车。
lazy man’s shoes have become popular with the young.,懒人的鞋子在年轻人中变得流行。
Doughflake soup is my father’s favorite.,面团片汤是我父亲最喜欢的。
I can see a kite fluttering in the sky.,我能看到一只风筝在天空中飘动。
Some of the biggest drug dealers went to change their image and go into politics.,一些最大的毒贩为了改变形象而进入政界。
"He used to work as a person who persuades people to take a minibus in return for a cut of the fares, and later he became a tourist guide.",他曾经是一名劝说人们乘坐小巴的人员，以此获得车费的一部分，后来他成为了一名旅游导游。
He has a little fame and can do anything he wants in this region without interference.,他在这个地区有一点名气，可以随心所欲地做任何事情而不受干扰。
"This style of shirt has long since gone out of fashion, so the stall owner decided to sell it without turning a profit.",这种风格的衬衫早已过时，因此摊主决定以不盈利的方式出售它。
The child pestered his mother for buying the toy for him when his father went out.,孩子在父亲出门时缠着妈妈让她给他买玩具。
"I can’t stand to see him ill-treat his own father like that.', 'I’m furious to hear the news.",我无法忍受看到他这样虐待自己的父亲。听到这个消息我非常愤怒。
She goes to play mahjong at the senior citizens’ center everyday.,她每天去老年人活动中心打麻将。
This hairstyle is most fashionable at present. Many young people like it.,这款发型目前是最时尚的。许多年轻人都喜欢它。
Don’t force yourself to carry it if it’s too heavy for you. Be careful not to sprain your back.,不要强迫自己去搬太重的东西。小心不要扭伤你的背。
"It was my business originally, but he snatched it away from me by selling goods at much lower prices.', 'He stole his brother’s girlfriend and married her.",这本来是我的生意，但他通过以更低的价格出售商品把它抢走了。' '他抢走了他兄弟的女朋友并娶了她。
Do you want to kick the bucket? Why don’t you look around before you cross the road.,你想去死吗？为什么在过马路之前不看看周围呢？
Why did you buy this color sweater? It looks very tawdry.,你为什么买了这个颜色的毛衣？它看起来很俗气。
"Dancing is a youthful profession, so her parents won’t allow her to become a dancer.",跳舞是一种年轻的职业，所以她的父母不允许她成为舞者。
You’re really a greenhorn. How could you handle things in such a rash way. It could cause many problems for the company.,你真是个新手。你怎么能如此草率地处理事情呢？这可能会给公司带来很多问题。
"I like an all-red skirt.', 'The students in this class are all girls.",我喜欢一条全红的裙子。这个班的学生都是女孩。
"He spent the whole evening with his lover, but he told his wife that he had an important meeting.",他整个晚上都和情人在一起，但他告诉妻子他有一个重要的会议。
Get up and do some exercises. Don’t huddle up in bed all day.,起床做一些锻炼。不要整天窝在床上。
A—Don’t be angry. I was just kidding.\\nB—Damn you . I won’t talk to you any more.,"A—别生气。我只是开玩笑。  
B—该死的。我不想再和你说话了。"
"If I hired you, 'you have to do everything in the house including shopping', 'cooking', cleaning and baby sitting. But you will get paid more than other people.",如果我雇佣你，你必须做家里的所有事情，包括购物、做饭、打扫和照顾孩子。但你的薪水会比其他人高。
Her song inspired the audience. The atmosphere became more and more charged.,她的歌曲激励了观众。气氛变得越来越紧张。
"I think you must have had heatstroke, otherwise you couldn’t have made such a stupid decision.",我想你一定是中暑了，否则你不可能做出这么愚蠢的决定。
This child always runs wild and disobeys me when someone come to the house. I just don’t know how to control him.,这个孩子总是在有人来家时乱跑，不听我的话。我真的不知道该怎么管他。
She knows a lot of people; she’s very suitable for sales work.,她认识很多人；她非常适合做销售工作。
In Hong Kong many illegal immigrants work in construction for very low wages.,在香港，许多非法移民在建筑行业以非常低的工资工作。
"The common people have great hatred for those dregs of society responsible for crimes of robbery, 'theft', and rape. They want the government to crack down on them severely.",普通大众对那些犯有抢劫、盗窃和强奸等罪行的社会渣滓怀有强烈的仇恨。他们希望政府能对这些罪犯采取严厉的打击措施。
"She is so sweet that everyone like her.', 'She knows pretty well how to win favor of the audience by fawning.",她非常甜美，大家都喜欢她。她很清楚如何通过奉承来赢得观众的欢心。
This dish is overcooked.,这道菜煮得过熟了。
He knows his weakness very well and tries his best to change.,他非常清楚自己的弱点，并尽力去改变。
Taxi drivers often use the excuse of going home for meals or finishing work to refuse to pick up passengers.,出租车司机常常以回家吃饭或结束工作为借口拒绝接载乘客。
You can’t let him type this letter for you. He’s stupid and doesn’t know how to use a typewriter.,你不能让他为你打这封信。他很笨，不知道怎么使用打字机。
The woman in the evening gown looks natural and unrestrained.,穿着晚礼服的女人看起来自然且毫不拘束。
This food is far from enough for me.,这食物对我来说远远不够。
He is a rough fellow. He doesn’t car about anything.,他是个粗鲁的人。他对任何事情都不在乎。
"He is afraid of being fired by the boss, so he works very carefully and obediently like a yes-man.",他害怕被老板解雇，所以他像个迎合者一样非常小心和顺从地工作。
"The government launched a nationwide campaign to confiscate all pornographic magazines, books and video tapes on the market.",政府发起了一项全国性运动， confiscate 所有市场上的色情杂志、书籍和录像带。
"If you go to the free market to buy things, you have to learn how to bargain the price down.",如果你去自由市场买东西，你必须学会如何讨价还价。
Policemen caught a thief who made a specialty of cheating his friends.,警察抓住了一名专门欺骗朋友的小偷。
"They were stunned when they got to the bank and discovered all their money had been withdrawn by someone else.', 'He was stunned that she would go home by herself.","他们到达银行时震惊地发现他们所有的钱都被其他人取走了。', '他震惊于她竟然会自己回家。"
"The customers tried to get the shop assistant’s attention, but she deliberately ignored them and kept talking with her co-worker.",顾客们试图引起店员的注意，但她故意忽视他们，继续和同事聊天。
"It was nothing at first, but he stirred up trouble and make it into a big mess.",起初这没什么，但他惹出了麻烦，把事情搞得一团糟。
This suit of clothes is designed specially for white-collar workers.,这套衣服是专为白领工作者设计的。
"Although he works enthusiastically, his boss won’t give him a pay rise.",尽管他工作热情高涨，但他的老板却不给他加薪。
"I know that she’s jealous of me, so she went to the boss to tell tales of me.",我知道她嫉妒我，所以她去找老板对我说坏话。
It’s no trouble at all. I can do this on my way home.,这完全没问题。我可以在回家的路上做这个。
Joyo announced to the public that it would launch a brand new award for the Chinese audio and video industries. It gave a 10 million yuan prize for the best collection of music from movies or television dramas. This is its largest“money burning ” activity since it was financed with 50 million yuan.,Joyo 向公众宣布，将推出一个全新的奖项，旨在表彰中国音视频行业。该奖项为最佳影视音乐作品提供了 1000 万元的奖金。这是自获得 5000 万元融资以来，Joyo 最大的一次“烧钱”活动。
He is the biggest human trafficker in Southeast Asia.,他是东南亚最大的贩卖人口者。
They started a long discussion as soon as they met. Who knows how they found that much to talk about.,他们一见面就开始了长时间的讨论。谁知道他们怎么会找到那么多话题可聊。
I agree to lend him some money. But I didn’t expect him to ask for the equivalent of my monthly salary.,我同意借给他一些钱。但我没想到他会要求相当于我一个月工资的金额。
She usually buys vegetables in season to save money.,她通常购买应季的蔬菜以节省开支。
Mostly likely he won’t come because of the rain.,他很可能因为下雨而不来。
It’s their fault completely. But they made me take the responsibility for it.,完全是他们的错。但他们让我承担责任。
I think I should hang up now otherwise I’ll interfere with your work.,我想我应该挂断电话了，否则我会干扰你的工作。
He came back from the United States yesterday and gave two foreign-made“grenades” to his boss.,他昨天从美国回来，给他的老板带了两个外国制造的“手榴弹”。
"She got a lucky hand today. Every time we played, she won.",她今天运气很好。每次我们玩，她都赢了。
My mother rebuked me for coming home late.,我妈妈因为我回家晚而责备了我。
She prefers using her credit card to paying in cash.,她更喜欢用信用卡而不是现金支付。
He fooled around with shady characters again last night.,他昨晚又和一些可疑的人混在一起。
"He didn’t attend the party because he had something else to do, and everyone said he was playing the movie star.",他没有参加派对，因为他有其他事情要做，大家都说他在装电影明星。
I want nothing to do with him. He’s always going gambling and won’t listen to anyone.,我不想和他有任何关系。他总是去赌博，谁的话都不听。
Your son is extremely good looking. He has the right qualifications to be a model.,你的儿子非常帅。他具备成为模特的条件。
"If you really love him you shouldn’t make fun of him anymore.', 'She promised to treat him to dinner last night, so he waited two hours outside of a restaurant for her to show up. He finally realized that he was being stood up.",如果你真的爱他，就不应该再嘲笑他了。她昨晚答应请他吃晚餐，所以他在餐厅外等了她两个小时，最后他意识到自己被放了鸽子。
There are too many shoddy goods on the market.,市场上劣质商品太多了。
There are mainly two of privately organized shows in China; those that are profitable and those that are not. Usually new pop singers have to work their way up starting with shows that do not make much profit.,在中国，主要有两种私人组织的演出：一种是盈利的，另一种是非盈利的。通常，新晋流行歌手需要从那些利润不高的演出开始，逐步提升自己的知名度。
I put my handbag on the chair here and don’t know who stole it.,我把手提包放在这里的椅子上，不知道是谁偷了它。
Look at you. I just praised your good health yesterday and you are sick today.,看看你。昨天我还夸你身体好，今天你就生病了。
They dropped the lawsuit and settled the case privately after they received a large sum of money from the driver.,他们在从司机那里获得一笔巨额赔偿后，撤回了诉讼并私下和解了案件。
It’s not necessary for you to risk your life to fight him over such a trivial matter.,你没有必要为了这么琐碎的事情而冒着生命危险去和他争斗。
It won’t work in this way. Why don’t you change to another way? What a stubborn person you are!,这方法行不通。你为什么不换个方法呢？你真是个固执的人！
He didn’t want to court death for nothing.,他不想无缘无故地追求死亡。
I resigned the job because I hate to be the boss’ errand-boy.,我辞掉了这份工作，因为我讨厌做老板的跑腿。
"He made trouble for us on purpose. We decided to do it this way, but he insisted on doing it the opposite way.",他故意给我们制造麻烦。我们决定这样做，但他坚持要反过来做。
Most of all he likes to be flattered.,他最喜欢的是被奉承。
This new suit makes you look wonderful.,这套新西装让你看起来很棒。
"Many young girls are keen on changing their self-image by various means. They have no doubt become the targets of merchants who sell various products to make breasts bigger.', 'This product is most suitable for girls with flat breasts.",许多年轻女孩热衷于通过各种方式改变自己的形象。她们无疑成为了那些销售各种丰胸产品商家的目标。这个产品最适合胸部平坦的女孩。
"Not long ago, our program team went to visit actors and actresses at the filming location of the film“A World Without Thieves” and got a lot of the latest news of the film.",不久前，我们的节目组前往电影《无贼的世界》的拍摄地点，拜访了演员们，并获得了许多关于这部电影的最新消息。
"He will graduate from school soon. He has asked his father to help him find a job.', 'If you don’t get information in advance, you won’t know how to set up a joint venture.",他很快就要毕业了。他已经请他的父亲帮他找工作。如果你不提前获取信息，你就不知道如何建立合资企业。
Just go and do it bravely. Don’t worry. You have me to clear the way for you.,勇敢去做吧。别担心。我会为你开路的。
On weekends I love to go shopping and look for my favorite things.,在周末，我喜欢去购物，寻找我最喜欢的东西。
He always evades bus fares when the bus is crowded at the rush hours.,他总是在高峰时段公交车拥挤时逃避车费。
"He only met me once, but he acted as if we were old friends.",他只见过我一次，但他表现得就像我们是老朋友一样。
You should never go there. It might be a big trap they laid for you.,你绝对不应该去那里。那可能是他们为你设下的一个大陷阱。
Don’t trouble him with such a small thing. He is already in low spirits today.,不要用这么小的事打扰他。他今天已经情绪低落了。
This business is really profitable.,这个生意真的很赚钱。
She’s over thirty but she’s managed to maintain her cutie-pie image in the movies.,她已经三十多岁了，但她在电影中仍然成功保持了她的可爱形象。
She always keeps her eyes on my work and always tries to find fault with me.,她总是关注我的工作，并且总是试图找我的错。
He kept changing jobs until he found one he was satisfied with.,他不断换工作，直到找到一个让他满意的工作。
A—Could you lower the price of this jacket a little?\\nB—No. That’s already the lowest price.,A—你能把这件夹克的价格稍微降低一点吗？\\nB—不行。这已经是最低价格了。
"We are close friends, so your difficulties are my difficulties.",我们是密友，所以你的困难就是我的困难。
He asked some of his close friends to help him build the house.,他请了一些亲密的朋友帮他建房子。
This is my close friend. She’s just come back from the United States.,这是我亲密的朋友。她刚从美国回来。
I can stand the pain.,我能忍受疼痛。
He’s snoozing in the shade.,他在阴凉处打盹。
They are involved in the same illegal trade so they often help each other.,他们参与同样的非法交易，因此他们经常互相帮助。
He finally moved out of the shabby tube-shaped building in to a new apartment highrise.,他终于从那栋破旧的管状建筑搬到了新的高层公寓。
"This letter puzzled him. He didn’t know how to answer it properly.', 'She is in a stew over finding a baby-sitter.",这封信让他感到困惑。他不知道该如何正确地回答。她正在为找保姆而烦恼。
I can’t do it unless the head of the unit agrees.,我不能这样做，除非单位负责人同意。
He doesn’t dare take off his hat in front of people because he is a baldhead.,他不敢在别人面前脱掉帽子，因为他是个秃头。
You’re really unsophisticated. You haven’t even had Western-style dishes yet.,你真是太不懂世故了。你甚至还没有尝过西式菜肴。
I used to catch beetles and sell them in a drugstore when I was young.,我年轻的时候常常抓甲虫，然后在药店里卖它们。
She looked very unrefined when she first came to the city.,她刚到城市时看起来非常粗俗。
You can’t have free meals all the time. It’s your turn to foot the bill today.,你不能一直吃免费餐。今天轮到你买单了。
All the colleges and universities will hold a talk show competition each year and the winners might have an opportunity of stepping into a career as a television host.,所有高校每年都会举办一次脱口秀比赛，获胜者可能有机会进入电视主持人的职业生涯。
She was hired by my brother to be an“enthusiastic customer”.,她被我哥哥雇来当一个“热情的顾客”。
My business is not going well. Would you find two young women to be“enthusiastic customers” for me?,我的生意不太好。你能帮我找两个年轻女性作为“热情顾客”吗？
I had no idea he was so talented in this area.,我不知道他在这个领域如此有才华。
She got into trouble this time. When she arrived at the beach she found she had forgotten to bring her swimming suit.,她这次遇到了麻烦。当她到达海滩时，她发现自己忘记带游泳衣了。
She makes some extra money by tutoring in the evening.,她晚上通过辅导赚一些额外的钱。
He used to be a troublemaker.,他以前是个麻烦制造者。
"No one can easily handle the horse except me.', 'He is naughty that nobody can keep him under control.","Here is the translation of the provided text into Chinese:

“除了我，没有人能轻易驾驭这匹马。” “他很顽皮，没人能控制住他。”"
There are many troublemakers in this class.,这个班里有很多捣乱者。
The two boys are showing off their bike riding skills on the strect.,这两个男孩正在街上炫耀他们的骑自行车技巧。
You needn’t pretend to be sophisticated in front of me.,你不需要在我面前装得很成熟。
He likes to do unique things to differentiate himself from others.,他喜欢做一些独特的事情，以便与他人区分开来。
This is a very interesting game. Don’t you want to play it with me once?,这是一个非常有趣的游戏。你不想和我一起玩一次吗？
Don’t look down on him. He’s a famous celebrity.,不要看不起他。他是一位著名的名人。
Xiao Li has made many web friends in dthe six months since he was connecting to the Internet. He often goes to parties organized by web friends.,小李在过去六个月里上网交了很多网络朋友。他经常参加网络朋友组织的聚会。
She is afraid this matter is far from settled.,她担心这个问题远未解决。
He has a long tail (he never closes the door behind him).,他有一条长尾巴（他从不关身后的门）。
