lang,slang,conv_def_en,conv_def,slang_definition,slang_definition_en
en,sim,"A smart card inside a mobile phone , carrying an identification number unique to the owner , storing personal data , and preventing operation if removed","A smart card inside a mobile phone , carrying an identification number unique to the owner , storing personal data , and preventing operation if removed","a person who is so like everyone around him or her that they seem like a simulation or made of plastic.  AKA a mirror face, serial, or normie","a person who is so like everyone around him or her that they seem like a simulation or made of plastic.  AKA a mirror face, serial, or normie"
en,simmer,( of water or food that is being heated ) stay just below boiling point while bubbling gently,( of water or food that is being heated ) stay just below boiling point while bubbling gently,to calm down. Note: usually used to warn someone that they need to calm down,to calm down. Note: usually used to warn someone that they need to calm down
en,sing,"Make musical sounds with the voice , especially words with a set tune","Make musical sounds with the voice , especially words with a set tune",to tell the authorities details of a crime; rat out,to tell the authorities details of a crime; rat out
en,single,Only one ; not one of several,Only one ; not one of several,"When a married couple's children are out of town visiting Grandma for a couple of weeks, allowing parents to go out and party","When a married couple's children are out of town visiting Grandma for a couple of weeks, allowing parents to go out and party"
en,sister,A woman or girl in relation to other daughters and sons of her parents,A woman or girl in relation to other daughters and sons of her parents,form of address for a female used by a close friend,form of address for a female used by a close friend
en,six,"Equivalent to the product of two and three ; one more than five , or four less than ten ; 6","Equivalent to the product of two and three ; one more than five , or four less than ten ; 6",back,back
en,skank,Reggae music suitable for dancing the skank to,Reggae music suitable for dancing the skank to,a dirty or promiscuous female,a dirty or promiscuous female
en,skate,An ice skate or roller skate,An ice skate or roller skate,to leave,to leave
en,skeet,A shooting sport in which a clay target is thrown from a trap to simulate the flight of a bird,A shooting sport in which a clay target is thrown from a trap to simulate the flight of a bird,"generally displeasing.  Primarily a St. Louis, MO, USA term","generally displeasing.  Primarily a St. Louis, MO, USA term"
en,sketchy,Not thorough or detailed,Not thorough or detailed,"of questionable character, strange","of questionable character, strange"
en,ski,"Each of a pair of long , narrow pieces of hard , flexible material , typically pointed and turned up at the front , fastened under the feet for travelling over snow","Each of a pair of long , narrow pieces of hard , flexible material , typically pointed and turned up at the front , fastened under the feet for travelling over snow",to perform a handjob on two men at the same time,to perform a handjob on two men at the same time
en,skid,"( of a vehicle ) slide , typically sideways or obliquely , on slippery ground or as a result of stopping or turning too quickly","( of a vehicle ) slide , typically sideways or obliquely , on slippery ground or as a result of stopping or turning too quickly",unattractive,unattractive
en,skid mark,A long black mark left on a road surface by the tyres of a skidding vehicle,A long black mark left on a road surface by the tyres of a skidding vehicle,feces smears left in the toilet bowl after flushing,feces smears left in the toilet bowl after flushing
en,skin,The thin layer of tissue forming the natural outer covering of the body of a person or animal,The thin layer of tissue forming the natural outer covering of the body of a person or animal,a cigarette rolling paper,a cigarette rolling paper
en,skinner,A person who skins animals or prepares skins,A person who skins animals or prepares skins,A skinny person who isn't as weak as they appear,A skinny person who isn't as weak as they appear
en,skinny,( of a person or part of their body ) unattractively thin,( of a person or part of their body ) unattractively thin,"very good, excellent;","very good, excellent;"
en,skip,"Move along lightly , stepping from one foot to the other with a hop or bounce","Move along lightly , stepping from one foot to the other with a hop or bounce",to leave,to leave
en,skirt,A woman's outer garment fastened around the waist and hanging down around the legs,A woman's outer garment fastened around the waist and hanging down around the legs,a female.,a female.
en,skive,Pare ( the edge of a piece of leather or other material ) so as to reduce its thickness,Pare ( the edge of a piece of leather or other material ) so as to reduce its thickness,to purposefully not attend school with no formal reason.  UK origin,to purposefully not attend school with no formal reason.  UK origin
en,skivvy,A lightweight high - necked long - sleeved garment,A lightweight high - necked long - sleeved garment,the inside info;,the inside info;
en,skull,A bone framework enclosing the brain of a vertebrate ; the skeleton of a person's or animal's head,A bone framework enclosing the brain of a vertebrate ; the skeleton of a person's or animal's head,fellatio,fellatio
en,skunky,Like a skunk,Like a skunk,stinky,stinky
en,skyrocket,A rocket designed to explode high in the air as a signal or firework,A rocket designed to explode high in the air as a signal or firework,to increase very quickly,to increase very quickly
en,slab,"A large , thick , flat piece of stone or concrete , typically square or rectangular in shape","A large , thick , flat piece of stone or concrete , typically square or rectangular in shape","street, from slab (large piece) of concrete","street, from slab (large piece) of concrete"
en,slack,Not taut or held tightly in position ; loose,Not taut or held tightly in position ; loose,tolerance,tolerance
en,slag,Stony waste matter separated from metals during the smelting or refining of ore,Stony waste matter separated from metals during the smelting or refining of ore,a subservient person or worker bee,a subservient person or worker bee
en,slam dunk,A shot in which a player thrusts the ball down through the basket,A shot in which a player thrusts the ball down through the basket,a sure thing,a sure thing
en,slap,Hit or strike with the palm of the hand or a flat object,Hit or strike with the palm of the hand or a flat object,loud music,loud music
en,slash,"Cut with a wide , sweeping movement , typically using a knife or sword","Cut with a wide , sweeping movement , typically using a knife or sword",local slash; term for local lager or beer when in a foreign country,local slash; term for local lager or beer when in a foreign country
en,sleazy,"( of a person or situation ) sordid , corrupt , or immoral","( of a person or situation ) sordid , corrupt , or immoral",similar to those of a prostitute or promiscuous person,similar to those of a prostitute or promiscuous person
en,sledge,"A vehicle on runners for conveying loads or passengers over snow or ice , often pulled by draught animals","A vehicle on runners for conveying loads or passengers over snow or ice , often pulled by draught animals","to separate oneself from a female quickly due to obvious psychological problems and move on quickly for better dating prospects.  From popular comedian Tommy Sledge who say\'s I moved on, it\'s my job it\'s what I do","to separate oneself from a female quickly due to obvious psychological problems and move on quickly for better dating prospects.  From popular comedian Tommy Sledge who say\'s I moved on, it\'s my job it\'s what I do"
en,sleeper,A person or animal who is asleep or who sleeps in a specified way,A person or animal who is asleep or who sleeps in a specified way,something successful that initially wasn't successful,something successful that initially wasn't successful
en,sliced,( of food ) cut into slices,( of food ) cut into slices,"having large, rippling muscles and extremely low body fat","having large, rippling muscles and extremely low body fat"
en,slick,Done or operating in an impressively smooth and efficient way,Done or operating in an impressively smooth and efficient way,you out-did someone in something,you out-did someone in something
en,slide,Move smoothly along a surface while maintaining continuous contact with it,Move smoothly along a surface while maintaining continuous contact with it,to leave,to leave
en,sling,A flexible strap or belt used in the form of a loop to support or raise a hanging weight,A flexible strap or belt used in the form of a loop to support or raise a hanging weight,to sell,to sell
en,slip,Lose one's footing and slide unintentionally for a short distance,Lose one's footing and slide unintentionally for a short distance,to decline in one's talent or skill,to decline in one's talent or skill
en,slit,"A long , narrow cut or opening","A long , narrow cut or opening",female genitals,female genitals
en,slope,A surface of which one end or side is at a higher level than another ; a rising or falling surface,A surface of which one end or side is at a higher level than another ; a rising or falling surface,an Asian person.  Derogatory,an Asian person.  Derogatory
en,slug,A tough - skinned terrestrial mollusc which typically lacks a shell and secretes a film of mucus for protection . It can be a serious plant pest,A tough - skinned terrestrial mollusc which typically lacks a shell and secretes a film of mucus for protection . It can be a serious plant pest,a commuter who hitchhikes a ride with an unknown driver at a designated pickup point.  Often used to take advantage of High Occupancy Vehicle (HOV) lanes during commute hours,a commuter who hitchhikes a ride with an unknown driver at a designated pickup point.  Often used to take advantage of High Occupancy Vehicle (HOV) lanes during commute hours
en,slush,Partially melted snow or ice,Partially melted snow or ice,"a promiscuous female, who is easy to take to bed","a promiscuous female, who is easy to take to bed"
en,slut,A woman who has many casual sexual partners,A woman who has many casual sexual partners,a promiscuous person,a promiscuous person
en,slutty,( with reference to a woman ) sexually promiscuous or provocative in a way that is considered in bad taste,( with reference to a woman ) sexually promiscuous or provocative in a way that is considered in bad taste,distastefully revealing,distastefully revealing
en,sly,Having or showing a cunning and deceitful nature,Having or showing a cunning and deceitful nature,For someone to exert themselves for the benefit of others in their social circle is 'sly',For someone to exert themselves for the benefit of others in their social circle is 'sly'
en,smack,"A sharp slap or blow , typically one given with the palm of the hand","A sharp slap or blow , typically one given with the palm of the hand",excellent,excellent
en,smart,"( of a person ) clean , tidy , and well dressed","( of a person ) clean , tidy , and well dressed",insolent or snide,insolent or snide
en,smoke,"A visible suspension of carbon or other particles in air , typically one emitted from a burning substance","A visible suspension of carbon or other particles in air , typically one emitted from a burning substance",a cigarette,a cigarette
en,smooth,"Having an even and regular surface ; free from perceptible projections , lumps , or indentations","Having an even and regular surface ; free from perceptible projections , lumps , or indentations",without any unwanted events,without any unwanted events
en,smut,A small flake of soot or other dirt or a mark left by one,A small flake of soot or other dirt or a mark left by one,promiscuous female,promiscuous female
en,snack,A small amount of food eaten between meals,A small amount of food eaten between meals,"attractive female or male.  Quality of being a snack - snackiness.  Potential of being a snack - snackability.  Adjective forms - snacky, snackilicious.  v.  snack (as in, Man, I\'d love to snack on him for a bit!)  Variation:  n. snackycakes (pet name)","attractive female or male.  Quality of being a snack - snackiness.  Potential of being a snack - snackability.  Adjective forms - snacky, snackilicious.  v.  snack (as in, Man, I\'d love to snack on him for a bit!)  Variation:  n. snackycakes (pet name)"
en,snag,An unexpected or hidden obstacle or drawback,An unexpected or hidden obstacle or drawback,A powwow hook up,A powwow hook up
en,snap,"Break suddenly and completely , typically with a sharp cracking sound","Break suddenly and completely , typically with a sharp cracking sound",an exclamation of surprise or disappointment; damn; darn; shit,an exclamation of surprise or disappointment; damn; darn; shit
en,snapper,A marine fish that is typically reddish and is valued as food,A marine fish that is typically reddish and is valued as food,A female,A female
en,snatch,Quickly seize ( something ) in a rude or eager way,Quickly seize ( something ) in a rude or eager way,female genitalia,female genitalia
en,sneak,Move or go in a furtive or stealthy way,Move or go in a furtive or stealthy way,to acquire discretely,to acquire discretely
en,snip,"Cut ( something ) with scissors or shears , typically with small quick strokes","Cut ( something ) with scissors or shears , typically with small quick strokes",to perform a vasectomy,to perform a vasectomy
en,snipe,"A wading bird of marshes and wet meadows , with brown camouflaged plumage , a long straight bill , and typically a drumming display flight","A wading bird of marshes and wet meadows , with brown camouflaged plumage , a long straight bill , and typically a drumming display flight",partially smoke cigarette,partially smoke cigarette
en,snort,"An explosive sound made by the sudden forcing of breath through one's nose , used to express indignation , derision , or incredulity","An explosive sound made by the sudden forcing of breath through one's nose , used to express indignation , derision , or incredulity",a gulp of alcohol,a gulp of alcohol
en,snow,Atmospheric water vapour frozen into ice crystals and falling in light white flakes or lying on the ground as a white layer,Atmospheric water vapour frozen into ice crystals and falling in light white flakes or lying on the ground as a white layer,cocaine,cocaine
en,snowball,"A ball of packed snow , especially one made for throwing at other people for fun","A ball of packed snow , especially one made for throwing at other people for fun","a sexual practice where a person performs fellatio on a male until the male ejaculates, then spits the semen into the male's mouth","a sexual practice where a person performs fellatio on a male until the male ejaculates, then spits the semen into the male's mouth"
en,snowbird,The snow bunting,The snow bunting,a person who spends the winter in a warm place,a person who spends the winter in a warm place
en,sock,"A garment for the foot and lower part of the leg , typically knitted from wool , cotton , or nylon","A garment for the foot and lower part of the leg , typically knitted from wool , cotton , or nylon",to hit,to hit
en,sod,Cover with sods or pieces of turf,Cover with sods or pieces of turf,bastard.  From Sodomite,bastard.  From Sodomite
en,solid,Firm and stable in shape ; not liquid or fluid,Firm and stable in shape ; not liquid or fluid,difficult,difficult
en,son,A boy or man in relation to either or both of his parents,A boy or man in relation to either or both of his parents,friend; dude,friend; dude
en,sophomore slump,A decline in academic performance during a student's second year of university,A decline in academic performance during a student's second year of university,a lack of success during a second attempt of something,a lack of success during a second attempt of something
en,sound,Vibrations that travel through the air or another medium and can be heard when they reach a person's or animal's ear,Vibrations that travel through the air or another medium and can be heard when they reach a person's or animal's ear,"good, great, fantastic, etc","good, great, fantastic, etc"
en,soup,"A liquid dish , typically savoury and made by boiling meat , fish , or vegetables etc . in stock or water","A liquid dish , typically savoury and made by boiling meat , fish , or vegetables etc . in stock or water","something worthless, hopeless, useless, etc.  Derived from the common United States military phrase Ate up like a soup sandwich","something worthless, hopeless, useless, etc.  Derived from the common United States military phrase Ate up like a soup sandwich"
en,soused,"( of food , especially fish ) preserved in pickle or a marinade","( of food , especially fish ) preserved in pickle or a marinade",inebriated,inebriated
en,sow,Plant ( seed ) by scattering it on or in the earth,Plant ( seed ) by scattering it on or in the earth,an overweight female.  From the non-slang definition of sow: a female pig,an overweight female.  From the non-slang definition of sow: a female pig
en,spade,"A tool with a sharp - edged , typically rectangular , metal blade and a long handle , used for digging or cutting earth , sand , turf , etc","A tool with a sharp - edged , typically rectangular , metal blade and a long handle , used for digging or cutting earth , sand , turf , etc",to flirt with a person,to flirt with a person
en,spam,"Irrelevant or unsolicited messages sent over the Internet , typically to a large number of users , for the purposes of advertising , phishing , spreading malware , etc","Irrelevant or unsolicited messages sent over the Internet , typically to a large number of users , for the purposes of advertising , phishing , spreading malware , etc",off-topic messages posted to an internet forum,off-topic messages posted to an internet forum
en,spank,"Slap with one's open hand or a flat object , especially on the buttocks as a punishment","Slap with one's open hand or a flat object , especially on the buttocks as a punishment",really sharp and clean looking,really sharp and clean looking
en,spanking,( especially of a horse or its gait ) lively ; brisk,( especially of a horse or its gait ) lively ; brisk,an emphatic and comprehensive win,an emphatic and comprehensive win
en,special,"Better , greater , or otherwise different from what is usual","Better , greater , or otherwise different from what is usual","retarded, or simply unintelligent","retarded, or simply unintelligent"
en,spew,Expel large quantities of ( something ) rapidly and forcibly,Expel large quantities of ( something ) rapidly and forcibly,vomit,vomit
en,spider,"An eight - legged predatory arachnid with an unsegmented body consisting of a fused head and thorax and a rounded abdomen . Spiders have fangs which inject poison into their prey , and most kinds spin webs in which to capture insects","An eight - legged predatory arachnid with an unsegmented body consisting of a fused head and thorax and a rounded abdomen . Spiders have fangs which inject poison into their prey , and most kinds spin webs in which to capture insects",a male,a male
en,spike,"A thin , pointed piece of metal , wood , or another rigid material","A thin , pointed piece of metal , wood , or another rigid material",to secretly put alcohol in a non-alcoholic beverage,to secretly put alcohol in a non-alcoholic beverage
en,spill,"Cause or allow ( liquid ) to flow over the edge of its container , especially unintentionally","Cause or allow ( liquid ) to flow over the edge of its container , especially unintentionally",to talk; utter; confess (often seen as spill the beans),to talk; utter; confess (often seen as spill the beans)
en,spinner,A person occupied in making thread by spinning,A person occupied in making thread by spinning,a petite female.,a petite female.
en,spit,"Eject saliva forcibly from one's mouth , sometimes as a gesture of contempt or anger","Eject saliva forcibly from one's mouth , sometimes as a gesture of contempt or anger",to rhyme or rap,to rhyme or rap
en,spoiler,A person or thing that spoils something,A person or thing that spoils something,anything that ruins a person's pleasure of figuring out something unknown to them,anything that ruins a person's pleasure of figuring out something unknown to them
en,sport,An activity involving physical exertion and skill in which an individual or team competes against another or others for entertainment,An activity involving physical exertion and skill in which an individual or team competes against another or others for entertainment,affectionate form of address for a male child,affectionate form of address for a male child
en,spot,"A small round or roundish mark , differing in colour or texture from the surface around it","A small round or roundish mark , differing in colour or texture from the surface around it",a place to hang out or party,a place to hang out or party
en,spread,"Open out ( something ) so as to extend its surface area , width , or length","Open out ( something ) so as to extend its surface area , width , or length",an impressive buffet of food,an impressive buffet of food
en,spud,A short length of pipe that is used to connect two components or that takes the form of a projection from a fitting to which a pipe may be screwed,A short length of pipe that is used to connect two components or that takes the form of a projection from a fitting to which a pipe may be screwed,"noun, means acting like a vegetable, dense, not too alert","noun, means acting like a vegetable, dense, not too alert"
en,spyware,Software that enables a user to obtain covert information about another's computer activities by transmitting data covertly from their hard drive,Software that enables a user to obtain covert information about another's computer activities by transmitting data covertly from their hard drive,software that lets third parties monitor a user\'s activities and personal data.  From spy + software,software that lets third parties monitor a user\'s activities and personal data.  From spy + software
en,square,A plane figure with four equal straight sides and four right angles,A plane figure with four equal straight sides and four right angles,with debts settled; even,with debts settled; even
en,squat,Crouch or sit with one's knees bent and one's heels close to or touching one's buttocks or the back of one's thighs,Crouch or sit with one's knees bent and one's heels close to or touching one's buttocks or the back of one's thighs,"anything, used in the negative to mean nothing","anything, used in the negative to mean nothing"
en,squawk,"( of a bird ) make a loud , harsh noise","( of a bird ) make a loud , harsh noise",to confess a crime,to confess a crime
en,squeaker,A person or thing that squeaks,A person or thing that squeaks,"(n., adj.) A fart which is short in duration, high in pitch, and usually does not smell.  It is the result of tight or strangely angled butt cheeks","(n., adj.) A fart which is short in duration, high in pitch, and usually does not smell.  It is the result of tight or strangely angled butt cheeks"
en,squeeze,"Firmly press ( something soft or yielding ), typically with one's fingers","Firmly press ( something soft or yielding ), typically with one's fingers",the primary focus of one's romantic life,the primary focus of one's romantic life
en,squelch,Make a soft sucking sound such as that made by treading heavily through mud,Make a soft sucking sound such as that made by treading heavily through mud,to steal,to steal
en,squid,"An elongated , fast - swimming cephalopod mollusc with eight arms and two long tentacles , typically able to change colour","An elongated , fast - swimming cephalopod mollusc with eight arms and two long tentacles , typically able to change colour","someone lacking in ability or skill, especially in a sport or activity","someone lacking in ability or skill, especially in a sport or activity"
en,stack,"A pile of objects , typically one that is neatly arranged","A pile of objects , typically one that is neatly arranged",thousand dollars,thousand dollars
en,stacked,( of a number of things ) put or arranged in a stack or stacks,( of a number of things ) put or arranged in a stack or stacks,large breasted,large breasted
en,stallion,An uncastrated adult male horse,An uncastrated adult male horse,"an extremely handsome, well built man - usually a stripper - whose body is in great shape","an extremely handsome, well built man - usually a stripper - whose body is in great shape"
en,stand up,"( of an argument , claim , evidence , etc .) remain valid after close scrutiny or analysis","( of an argument , claim , evidence , etc .) remain valid after close scrutiny or analysis","to skip a pre-arranged meeting, especially a date","to skip a pre-arranged meeting, especially a date"
en,starfish,"A marine echinoderm ( invertebrate ) with five or more radiating arms . The undersides of the arms bear tube feet for locomotion and , in predatory species , for opening the shells of molluscs","A marine echinoderm ( invertebrate ) with five or more radiating arms . The undersides of the arms bear tube feet for locomotion and , in predatory species , for opening the shells of molluscs",the anus,the anus
en,stat,( in a medical direction or prescription ) immediately,( in a medical direction or prescription ) immediately,statistic,statistic
en,stay,Remain in the same place,Remain in the same place,have sex,have sex
en,steal,Take ( another person's property ) without permission or legal right and without intending to return it,Take ( another person's property ) without permission or legal right and without intending to return it,to hit someone (usually in the face),to hit someone (usually in the face)
en,steamer,"A ship , boat , or locomotive powered by steam","A ship , boat , or locomotive powered by steam",feces;,feces;
en,steaming,Giving off steam,Giving off steam,very drunk,very drunk
en,stellar,Relating to a star or stars,Relating to a star or stars,"very good, excellent;","very good, excellent;"
en,step,An act or movement of putting one leg in front of the other in walking or running,An act or movement of putting one leg in front of the other in walking or running,to step up to a fight,to step up to a fight
en,stewed,( of food ) cooked slowly in liquid in a closed dish or pan,( of food ) cooked slowly in liquid in a closed dish or pan,drunk,drunk
en,stick,A thin piece of wood that has fallen or been cut off a tree,A thin piece of wood that has fallen or been cut off a tree,a person who lives in a rural area,a person who lives in a rural area
en,sticky,Tending or designed to stick to things on contact,Tending or designed to stick to things on contact,in computing: persistent,in computing: persistent
en,stiff,Not easily bent or changed in shape ; rigid,Not easily bent or changed in shape ; rigid,to not leave a gratuity,to not leave a gratuity
en,stinger,"An insect or animal that stings , such as a bee or jellyfish","An insect or animal that stings , such as a bee or jellyfish",Feces,Feces
en,stink,Have a strong unpleasant smell,Have a strong unpleasant smell,a commotion,a commotion
en,stole,"A woman's long scarf or shawl , especially of fur or similar material , worn loosely over the shoulders","A woman's long scarf or shawl , especially of fur or similar material , worn loosely over the shoulders","to punch or attack, typically with no prior warning","to punch or attack, typically with no prior warning"
en,stomp,"Tread heavily and noisily , typically in order to show anger","Tread heavily and noisily , typically in order to show anger",to defeat,to defeat
en,stoner,A person or thing that weighs a specified number of stone,A person or thing that weighs a specified number of stone,a person who frequently smokes marijuana,a person who frequently smokes marijuana
en,stooge,A subordinate used by another to do unpleasant routine work,A subordinate used by another to do unpleasant routine work,a person who is silly.  From The Three Stooges,a person who is silly.  From The Three Stooges
en,straight,Extending or moving uniformly in one direction only ; without a curve or bend,Extending or moving uniformly in one direction only ; without a curve or bend,fine; okay,fine; okay
en,strat,A Fender Stratocaster electric guitar,A Fender Stratocaster electric guitar,strategy,strategy
en,strawberry,A sweet soft red fruit with a seed - studded surface,A sweet soft red fruit with a seed - studded surface,"a prostitute, or one who sells or barters sexual services","a prostitute, or one who sells or barters sexual services"
en,streak,"A long , thin line or mark of a different substance or colour from its surroundings","A long , thin line or mark of a different substance or colour from its surroundings",to run naked,to run naked
en,street,"A public road in a city , town , or village , typically with houses and buildings on one or both sides","A public road in a city , town , or village , typically with houses and buildings on one or both sides",Hip with an ultra-sharp edge,Hip with an ultra-sharp edge
en,stringer,"A longitudinal structural piece in a framework , especially that of a ship or aircraft","A longitudinal structural piece in a framework , especially that of a ship or aircraft",a freelance reporter or local correspondent who gets paid by the story.,a freelance reporter or local correspondent who gets paid by the story.
en,stroll,Walk in a leisurely way,Walk in a leisurely way,"an area, such as a particular street, where prostitutes solicit customers","an area, such as a particular street, where prostitutes solicit customers"
en,struggle,Make forceful or violent efforts to get free of restraint or constriction,Make forceful or violent efforts to get free of restraint or constriction,"to be in disarray, to look slovenly","to be in disarray, to look slovenly"
en,stubby,Short and thick,Short and thick,"nice looking or pretty.  From Oakland, California","nice looking or pretty.  From Oakland, California"
en,stuffed,( of a dead animal ) having the skin filled with material to restore the original shape and appearance,( of a dead animal ) having the skin filled with material to restore the original shape and appearance,feeling extremely full after eating,feeling extremely full after eating
en,stump,The bottom part of a tree left projecting from the ground after most of the trunk has fallen or been cut down,The bottom part of a tree left projecting from the ground after most of the trunk has fallen or been cut down,to leave a person without an answer,to leave a person without an answer
en,stunt double,A trained professional who stands in for an actor in order to perform dangerous or physically demanding stunts,A trained professional who stands in for an actor in order to perform dangerous or physically demanding stunts,a look-a-like; doppelganger,a look-a-like; doppelganger
en,stupid,Having or showing a great lack of intelligence or common sense,Having or showing a great lack of intelligence or common sense,styling.,styling.
en,sty,A pigsty,A pigsty,"a pig sty, i.e. an extremely messy or dirty place","a pig sty, i.e. an extremely messy or dirty place"
en,styling,"The way in which something is made , designed , or performed","The way in which something is made , designed , or performed","very good, excellent;","very good, excellent;"
en,suave,"( especially of a man ) charming , confident , and elegant","( especially of a man ) charming , confident , and elegant",adj. Acting a certain way that has a sophisticated charm.  2. Substitute for the word cool,adj. Acting a certain way that has a sophisticated charm.  2. Substitute for the word cool
en,submarine,"A warship with a streamlined hull designed to operate completely submerged in the sea for long periods , equipped with a periscope and typically armed with torpedoes or missiles","A warship with a streamlined hull designed to operate completely submerged in the sea for long periods , equipped with a periscope and typically armed with torpedoes or missiles",to destroy,to destroy
en,sucker,A flat or concave organ enabling an animal to cling to a surface by suction,A flat or concave organ enabling an animal to cling to a surface by suction,an imbecile,an imbecile
en,sugar,"A sweet crystalline substance obtained from various plants , especially sugar cane and sugar beet , consisting essentially of sucrose , and used as a sweetener in food and drink","A sweet crystalline substance obtained from various plants , especially sugar cane and sugar beet , consisting essentially of sucrose , and used as a sweetener in food and drink",name for an attractive friend,name for an attractive friend
en,suit,"A set of outer clothes made of the same fabric and designed to be worn together , typically consisting of a jacket and trousers or a jacket and skirt","A set of outer clothes made of the same fabric and designed to be worn together , typically consisting of a jacket and trousers or a jacket and skirt","pejorative term used for management / consulting / executive types, who are more likely to wear business suits than the average worker","pejorative term used for management / consulting / executive types, who are more likely to wear business suits than the average worker"
en,sunshine,"Direct sunlight unbroken by cloud , especially over a comparatively large area","Direct sunlight unbroken by cloud , especially over a comparatively large area",form of address for a cowardly male person,form of address for a cowardly male person
en,sup,Take ( drink or liquid food ) by sips or spoonfuls,Take ( drink or liquid food ) by sips or spoonfuls,"a greeting, similar to What\'s going on?  A shortened version of","a greeting, similar to What\'s going on?  A shortened version of"
en,super,( of a manufactured product ) very good ; superfine,( of a manufactured product ) very good ; superfine,a landlord.  From superintendent,a landlord.  From superintendent
en,surface,The outside part or uppermost layer of something,The outside part or uppermost layer of something,"in a computing user interface, to present something to the user.  Often used in reference to settings","in a computing user interface, to present something to the user.  Often used in reference to settings"
en,suspect,"Have an idea or impression of the existence , presence , or truth of ( something ) without certain proof","Have an idea or impression of the existence , presence , or truth of ( something ) without certain proof",questionable,questionable
en,swag,A curtain or piece of fabric fastened so as to hang in a drooping curve,A curtain or piece of fabric fastened so as to hang in a drooping curve,an approximation or educated guess.  Acronym of scientific wild-assed guess.  Contrast with the less-precise wag (wild-assed guess),an approximation or educated guess.  Acronym of scientific wild-assed guess.  Contrast with the less-precise wag (wild-assed guess)
en,swagger,Walk or behave in a very confident and arrogant or self - important way,Walk or behave in a very confident and arrogant or self - important way,"a person's style, attitude, general demeanor","a person's style, attitude, general demeanor"
en,swallow,"Cause or allow ( something , especially food or drink ) to pass down the throat","Cause or allow ( something , especially food or drink ) to pass down the throat",to swallow a man's ejaculate during oral sex,to swallow a man's ejaculate during oral sex
en,swap,Take part in an exchange of,Take part in an exchange of,"to move information between one\'s memory and some other source of information, e.g. a book.  (These respectively correspond to fast-access memory and slower storage referred to in the origin section below.)","to move information between one\'s memory and some other source of information, e.g. a book.  (These respectively correspond to fast-access memory and slower storage referred to in the origin section below.)"
en,sway,Move or cause to move slowly or rhythmically backwards and forwards or from side to side,Move or cause to move slowly or rhythmically backwards and forwards or from side to side,To hit with great force; knock out,To hit with great force; knock out
en,sweat,"Moisture exuded through the pores of the skin , typically in profuse quantities as a reaction to heat , physical exertion , fever , or fear","Moisture exuded through the pores of the skin , typically in profuse quantities as a reaction to heat , physical exertion , fever , or fear",to worry,to worry
en,sweet,"Having the pleasant taste characteristic of sugar or honey ; not salt , sour , or bitter","Having the pleasant taste characteristic of sugar or honey ; not salt , sour , or bitter","good, excellent, fun; cool","good, excellent, fun; cool"
en,sweetness,The quality of being sweet,The quality of being sweet,interjection of delight;,interjection of delight;
en,sweet pea,"A climbing plant of the pea family , widely cultivated for its colourful fragrant flowers","A climbing plant of the pea family , widely cultivated for its colourful fragrant flowers","form of address for a person, usually female","form of address for a person, usually female"
en,swell,"( especially of a part of the body ) become larger or rounder in size , typically as a result of an accumulation of fluid","( especially of a part of the body ) become larger or rounder in size , typically as a result of an accumulation of fluid","good, cool","good, cool"
en,swerve,Change or cause to change direction abruptly,Change or cause to change direction abruptly,(adj) 1. Good-looking (,(adj) 1. Good-looking (
en,sword fight,A combat using swords as weapons,A combat using swords as weapons,a gathering with many more males than females,a gathering with many more males than females
en,system,A set of things working together as parts of a mechanism or an interconnecting network ; a complex whole,A set of things working together as parts of a mechanism or an interconnecting network ; a complex whole,a computer system,a computer system
en,ta,( in the UK ) Territorial Army,( in the UK ) Territorial Army,thank you.  Used predominantly in the UK and Australia,thank you.  Used predominantly in the UK and Australia
en,tackle,The equipment required for a task or sport,The equipment required for a task or sport,the male genitalia.  Also known as wedding tackle,the male genitalia.  Also known as wedding tackle
en,taco,"A Mexican dish consisting of a folded or rolled tortilla filled with various mixtures , such as seasoned mince , chicken , or beans","A Mexican dish consisting of a folded or rolled tortilla filled with various mixtures , such as seasoned mince , chicken , or beans",a vulva,a vulva
en,tag,A label attached to someone or something for the purpose of identification or to give other information,A label attached to someone or something for the purpose of identification or to give other information,Wow!,Wow!
en,take,Lay hold of ( something ) with one's hands ; reach for and hold,Lay hold of ( something ) with one's hands ; reach for and hold,to defeat in a fight.  Always used in a question or affirmation,to defeat in a fight.  Always used in a question or affirmation
en,take off,( of an aircraft or bird ) become airborne,( of an aircraft or bird ) become airborne,to begin,to begin
en,talent,Natural aptitude or skill,Natural aptitude or skill,attractive women and/or men,attractive women and/or men
en,talk back,Reply defiantly or insolently,Reply defiantly or insolently,to sass,to sass
en,tang,"A strong taste , flavour , or smell","A strong taste , flavour , or smell",female genitals,female genitals
en,tank,"A large receptacle or storage chamber , especially for liquid or gas","A large receptacle or storage chamber , especially for liquid or gas","go belly up, go bankrupt","go belly up, go bankrupt"
en,tap,A device by which a flow of liquid or gas from a pipe or container can be controlled,A device by which a flow of liquid or gas from a pipe or container can be controlled,to have sex with,to have sex with
en,tarnation,Used as a euphemism for damnation,Used as a euphemism for damnation,"damnation.  Used in expressions such as, How in tarnation..., What in tarnation..., etc","damnation.  Used in expressions such as, How in tarnation..., What in tarnation..., etc"
