term_lang,word,conv_def,slang_def
ZH,上眼药,To report others’ faults or speak ill of them to a superior.,rub one’s eyes with eyedrops; An expression for those who go to the boss and tell tales or speak ill of others.
ZH,捎带脚儿,Incidentally; in passing; in addition to the main purpose.,in passing; incidentally
ZH,烧钱,To spend money at a very rapid rate.,"to burn money, used to describe someone who spends money very quickly"
ZH,蛇头,A person or group that illegally smuggles people across borders.,a person or gang that ferries people illegally across the border
ZH,神聊,Lengthy and disorganized conversation; prolonged and animated discussion covering many topics.,"a long rambling talk; a long, animated discussion on many topics"
ZH,狮子大张口,To make an excessive or unreasonable demand for a large sum of money.,be too greedy; ask for (demand) a huge sum of money
ZH,时下菜,Seasonal vegetables that are abundant in the market and inexpensive.,vegetables in season(seasonal vegetable in abundant market supply andcheap)
ZH,十有八九,Very likely; in most cases; with a high probability.,mostly; in eight or nine cases out of ten
ZH,屎盆子,"A blame or wrongdoing; a fault, mistake, misdeed, or transgression.","crap pot, meaning fault; mistakes; bad thing; sin"
ZH,收线,to hang up the telephone receiver,hang up the receiver
ZH,手榴弹,A bottle of wine given to someone as a gift in order to gain their favor.,grenade/Aterm for a bottle of wine that people give as a gift in order to cotton up to someone.
ZH,手壮,luck in gambling or card games,"luck at gambling, cards, etc."
ZH,数落,To criticize or reproach someone by listing their faults or mistakes.,scold; rebuke; blame
ZH,刷卡,To pay using a credit card.,pay by credit card
ZH,刷夜,"To stay out all night, especially spending the night outside home with questionable company.",stay away from home all night; spend the night outside with shady characters
ZH,耍大牌,"To act arrogantly or put on airs, especially by behaving like a celebrity.",to put on airs; to affect a movie-star pose
ZH,耍钱,To gamble; to stake money on games of chance.,gambling
ZH,帅呆,"Extremely handsome appearance or exceptionally striking demeanor, usually referring to a man or an object.",the appearance of sb. (usually male) or sth. that is very beautiful or handsome; sb. Demeanor or bearing that is outstanding or extraordinarily unusual
ZH,涮,"To mock, deceive, or make fun of; to stand someone up.",make fun of; make a fool of; deceive; be stood up
ZH,水货,Inferior or low-quality goods.,low-quality goods; shoddy goods
ZH,水穴,A privately organized exhibition with minimal or negligible profit.,privately organized show that makes little profit
ZH,顺走,To steal; to secretly take something away without permission.,steal; sneak away with sth.
ZH,说胖就喘,Overreacting to praise or compliments; unable to accept others’ positive remarks.,to puff and blow when others say you are fat/A metaphor for one who cannot stand praise from others.
ZH,私了,To settle a dispute privately without resorting to legal proceedings.,settle a dispute privately(without lawsuit)
ZH,死磕,To persist in a struggle or confrontation despite risking one's life.,risk one’s life
ZH,死轴子,A metaphor for a stubborn or obstinate person.,a metaphor for one who is stubborn
ZH,送死,To court death or deliberately put oneself in a fatal or extremely dangerous situation.,court death
ZH,碎催,A person who runs errands or performs minor tasks for others.,errand-boy
ZH,塔儿哄,To cause a major disturbance or create trouble.,create a big disturbance; make trouble
ZH,抬轿子,To flatter or praise someone excessively in order to gain favor.,(originally)to carry sb. In a sedan chair;(metaphor) to flatter; sing the praises of; lick sb.’s boots
ZH,抬人,To enhance the appearance of something; to beautify or embellish.,make sth. look better; beautify; doll up
ZH,太平公主,A humorous term for a girl with a flat chest.,(jocular term)girl with flat breasts
ZH,探班,To visit or interview actors at a filming location.,to visit or inter view actors and actresses at the filming location
ZH,蹚道,To obtain information in advance.,get information in advance
ZH,趟雷,To remove or eliminate obstacles or difficulties.,to clear off/ remove obstacles
ZH,淘,"To search for and acquire (something valuable or desirable), especially after careful selection.",to look for; find
ZH,逃票,To evade paying the fare when using public transportation.,take a bus without paying the fare; evade bus fare
ZH,套瓷,To ingratiate oneself with someone or to deliberately seek a close relationship with someone.,cotton up to; try to establish a relationship with someone; act as if one has a close relationship with someone else
ZH,套儿,trap; a deceptive scheme or situation intended to ensnare or mislead someone,snare; trap
ZH,添堵,"to cause trouble, annoyance, or displeasure; to make someone feel upset or disturbed",trouble; disturb; annoy; displease
ZH,甜,Profitable; yielding high income or financial gain.,profitable; well-paying
ZH,甜姐,"A young woman who is sweet, charming, and endearing in manner or appearance.",sweet girl; cutie-pie
ZH,挑剌儿,To find fault with someone; to be overly critical or nitpicking toward a person.,find fault with sb. Pick holes in
ZH,跳糟,To change jobs; to move from one employer to another.,change jobs; job-hopping
ZH,跳水价,rock-bottom price; the lowest possible price,the lowest price
ZH,铁磁,A close confidant or intimate friend; a soulmate.,intimate friend; close friend; soul mate
ZH,铁哥们儿,A very close male friend; a male companion with whom one shares a strong bond.,intimate male friend; close male friend
ZH,铁姐们儿,Close female friends; women who share a strong and intimate friendship.,intimate female friend; close female friend
ZH,挺,to endure; to withstand; to bear (difficulties or hardship),stand; endure
ZH,挺尸,To lie down or take a brief nap.,lie; take a cat nap; snooze
ZH,同道儿,An accomplice; a person engaged in the same illegal activity as others.,partners in crime; people involved in the same illegal trade
ZH,筒子楼,"A tubular building with rooms along a central corridor, mainly used for offices, classrooms, or residences in China.","tubeshaped building with lining on both sides of a long corridor/In China, this type of building is mainly used for offices or classrooms but can also be used for residential quarters."
ZH,头大,"To feel confused, troubled, or anxious in response to a difficult situation.",be puzzled; have a head ache; be in a stew
ZH,头儿,"Leader; the person in charge of an organization, group, or business.","leader; head of a unit, group or a gang; boss"
ZH,秃瓢儿,A person whose scalp is bald or lacking hair on the top of the head.,baldhead
ZH,土,Lacking sophistication or worldly experience; unsophisticated and inexperienced.,unsophisticated; not well-informed; ignorant; un-experienced/A term used to describe someone who hasn’t seen very much of the world.
ZH,土鳖,"A beetle: an insect with hard wing covers, belonging to the order Coleoptera.",beetle
ZH,土得掉渣儿,"Extremely unsophisticated, ignorant, or lacking in modern manners or knowledge.",very ignorant; rustic; unrefined
ZH,吐血,"To suffer great distress or frustration, often due to significant effort, expense, or difficulty.",“spit blood”; to foot the bill; pay for sth.
ZH,脱口秀,"A live or recorded performance featuring humorous monologues, often addressing social or personal topics.",talk show
ZH,托儿,A person hired by a shop owner to pose as a customer in order to attract real customers.,someone hired by a store owner to pretend to be a customer in order to attract customers
ZH,托儿姐,A young woman hired by a shop owner to pose as a customer in order to attract other customers.,a young woman hired by a store owner to pretend to a customer in order to attract customers
ZH,歪才,Unconventional artistic talent or exceptional intelligence in a particular field.,unique artistic talent; cleverness in a certain field
ZH,崴泥,"To fall into difficulty, make a situation worse, or make a mistake.",get stuck in the mud/get into trouble; make things worse; go wrong
ZH,外快,additional income earned outside one's regular job,additional income; temporary income; extra money
ZH,玩主,A playboy or idle young man who engages in frivolous or troublesome behavior.,fop; dandy; trouble-maker
ZH,玩儿得转,To handle or manage (someone or something) with ease; to use or operate skillfully.,handle (sb. Or sth.)easily; use(a tool) with skill; master with ease; able to use or operate
ZH,玩和闹,A mischievous or unruly person; someone who behaves disruptively or causes trouble.,mischievous person; naughty guy; ruffian; rascal; troublemaker
ZH,玩儿飘,To deliberately show off one’s skills or talents.,show off one’s skill or talent on purpose
ZH,玩儿深沉,To deliberately speak in an obscure manner to appear knowledgeable.,pretend to be sophisticated; speak in a way so as to deliberately mystify others.
ZH,玩儿稀的,To do something in a highly unconventional or distinctive manner.,do sth. unique
ZH,玩儿一把,To do something once; to try an activity a single time.,play(do)sth. once
ZH,腕儿,A celebrity or an expert in a particular field.,famous person; expert
ZH,网友,A person with whom one interacts or communicates via the internet.,web
ZH,危,"Uncertain, risky, or discouraging in outlook.",far from settled; dangerous; not too encouraging.
ZH,尾巴长,A person who habitually leaves doors open when entering or exiting a room.,longtail /A term use for someone who never closes the door when he or she walds in or out .
ZH,温吞水,"A person who is slow, indecisive, or lacks enthusiasm and initiative.",lukewarm water; slow coach or slowpoke
ZH,揾钱,to earn money; to make a living,make money.
ZH,窝里反,"Internal rebellion or conflict within a group, organization, or country.",internal rebelling; internal dissension; domestic conflict
ZH,卧底,A person who secretly infiltrates an opposing group to gather information.,hide(lie low)in middle of ponents
ZH,吸引眼球,Attracting attention; visually striking or appealing.,eye-catching; attractive
ZH,细发,"Meticulous; characterized by delicacy, refinement, carefulness, or attention to detail.",exquisite; delicate; careful; fine
ZH,瞎掰,To talk nonsense; to make absurd or unfounded statements.,act senselessly; talk nonsense
ZH,瞎菜,In a hopeless or desperate situation with no way out.,have no way out; be finished ; be at the end of one’s hope
ZH,瞎迷,To be stunned or bewildered; to be at a loss for what to do.,be dumbfounded; be stunned; find oneself at a loss
ZH,下海,To leave a stable job to enter business or become self-employed.,go to sea/Originally this term referred to someone who joined a gang or a woman from a good family who became a prostitute. Now it refers to someone who has given up a stable job to engage in business.
ZH,下面,basic-level unit,unit at the basic level
ZH,下片儿,(of police) to gather information within their assigned district,(policeman) go to get information in local beat
ZH,闲磕牙,To engage in casual conversation or informal chatting.,chat
ZH,现,to lose face; to embarrass oneself; to bring shame upon oneself,lose face; make a fool of oneself; bring shame on oneself
ZH,向毛席保证,To swear by Chairman Mao as a guarantee of absolute truthfulness; popular in the 1970s.,"In Chairman Mao’s name/A term to indicate that what one says is absolutely true, mostly used in the 1970s of the 20th century."
ZH,小巴,minibus; a small bus used for public transportation,minibus; small bus
ZH,小炒,A single stir-fried dish prepared quickly and served individually.,an individual quick-fried dish
ZH,小皇帝,A child from a one-child family who is excessively pampered or spoiled by parents and relatives.,little emperor/A term referring to children from one-child families or spoilt children
ZH,小金库,"A private fund or reserve of money kept for personal use, often undisclosed.",private hoard
ZH,小儿科,Trivial or insignificant matter; something regarded as unimportant or beneath serious consideration.,pediatrics/A term used to describe something trivial and insignificant or something that is neglected or looked down upon by others.
ZH,笑星,"Comedy celebrity; a well-known performer of comedic monologues or sketches, especially on television.",comedy celebrity; comedy star/Usually refers to“cross talkers”(TV celebrities who perform short monologues) or comedians.
ZH,邪,"Deviating from what is correct, lawful, or traditional.",not right; illegal; unconventional
ZH,邪乎,Unusual or hard to believe.,out of the ordinary; incredible
ZH,心里美,"A person of kind heart and noble character; also, a type of radish with green skin and red flesh.","turnip(which is light green on the outside and red on the inside)/Someone who has good heart, noble mind and solid virtues."
ZH,星,A famous person in the entertainment industry; a celebrity.,star; celebrity
ZH,星姐,A term of endearment used to refer to a female celebrity.,intimate term for a female star
ZH,醒,"To become aware of, understand, or realize the reality of a situation.",realize; understand; wake up to reality
ZH,雄起,"To rise up; used as a cheer to encourage or motivate, especially in sports competitions.","Originally means“spring up; grow up ;”/A term often used in sport games, meaning “go!”,to cheer on ."
ZH,修长城,To play mahjong.,play mahjong
ZH,修理,To punish or discipline someone as a lesson.,teach someone a lesson ; make someone suffer
ZH,秀,"show (noun/verb):  
To present a performance for others to watch, or to display something to others.",show
ZH,嗅蜜,To pursue a romantic relationship with a woman; to seek a girlfriend.,chase a woman; look for a girlfriend
ZH,悬的乎,Dangerous; involving risk or the possibility of harm.,dangerous
ZH,寻开心,"To seek amusement, entertain oneself, or make fun of someone.",look for fun ;amuse ; make fun of
ZH,亚市民,A person living on a city’s outskirts without urban residency status but adopting urban lifestyles.,second-class citizen/Refers to those who live in city suburbs with no urban residence card but lead a lifestyle like that of regular residents.
ZH,蔫蔫呼呼,"A person who is naturally slow-witted, inarticulate, or indirect in action.","refers to one who is slow by nature, and doesn’t speak or act in a straightforward way"
ZH,洋插队,"To study, work, or live abroad.","study, work or live in a foreign country"
ZH,阳光,"A young, attractive person who is full of youthful energy and vitality.",sunny; young and pretty/ handsome; full of youthful spirit
ZH,养小,to take a concubine; to keep a secondary wife outside of marriage,have concubine
ZH,幺蛾子,A cunning scheme; a malicious idea or act; a devious plot.,a crafty plot; a wicked idea or thing; a trick
ZH,野鸡,An unlicensed and illegal vendor or company operating without any official permits or certification.,illegal trader or corporation without any business licenses or certificates
ZH,野模,An amateur model; a person hired as a model without any prior experience.,amateur model/ someone hired to be a model with no previous experience.
ZH,夜陪,A person who accompanies or assists a taxi driver during night shifts.,person who accompanies a taxi driver at night; taxi driver’s night assistant
ZH,页子活,To earn a large amount of money; to be very wealthy.,make big money; be rich
ZH,一个数,one hundred yuan (RMB); a sum of one hundred Chinese yuan,one hundred yuan
ZH,一号,restroom; toilet; bathroom; washroom,lavatory; toilet; bathroom; John
ZH,一水儿,Entirely of one kind (such as color or gender); completely; thoroughly.,single color or sex only; completely; totally
ZH,一头雾水,To be completely confused or bewildered; to be unable to understand a situation or information.,to make one puzzled or confused; to cast a mist before someone’s eyes
ZH,意思,"A gift given as a token to express affection, gratitude, or appreciation.","presenting gifts as a token of affection, appreciation or gratitude"
ZH,瘾君子,A person addicted to drugs; a habitual drug user.,drug addict
ZH,勇,Brave; courageous; willing to face danger or difficulty without fear.,brave; bold; daring
ZH,油,Clever in a deceitful or cunning way; sly or crafty.,foxy; cunning; sly; crafty
ZH,油葫芦,"A person who is extremely dirty and unkempt, with greasy skin and hair from not bathing.",a kind of dark brown and shiny field cricket; a grungy person/A term to describe someone who is extremely dirty and hasn’t taken a shower in such a long time that his or her body and hair is oily.
ZH,有把豆,"To possess skill, ability, or competence.","have skill, capability or ability"
ZH,有鼻子有眼,Vivid and detailed; described with lifelike and specific details.,vivid description; description full of details
ZH,有根儿,To have influential connections or powerful backing.,have connections; have support
ZH,有头有脸,"A person of high social status, influence, or prominence.","have fame(social status, dignity); leader; head; famed person; VIP"
ZH,有一搭，无一搭,To respond to something with indifference or without genuine interest or attention.,not take sth. seriously; pay little attention
ZH,有一号,To be well-known or regarded as a leading figure in a particular field.,have some fame; be considered one of the tops in one’s field
ZH,郁闷,"Feeling bored, frustrated, or emotionally distressed, often used by young people to express a troubled mood.",bored; depressed/A phrase used by the young to express a fretful bad mood.
ZH,越活越抽抽,to become smaller or shorter over time,shrink; become shorter
ZH,月嫂,A female caregiver who assists mothers during the first month after childbirth.,a maid who cares for a woman in the month after she’s given birth to a child
ZH,云山雾罩,"Described in a vague and mysterious manner, making the truth difficult to discern.",covering the mountain with mist and clouds/An expression for something that is described or told in a vague and mysterious fashion.
ZH,宰,To charge excessively high prices; to overcharge.,overcharge; rip off
ZH,糟践,"To damage, harm, or ruin; to subject to destruction or abuse.",harm; hurt; ruin; spoil
ZH,造,To become uncontrollable or to cause a situation to deteriorate.,run wild; mess things up
ZH,造势,To generate publicity or create momentum for something through promotion or public attention.,make a noise; promote
ZH,扎,Draft beer; beer served from a keg or cask rather than from a bottle or can.,draught beer
ZH,扎款,to make money; to earn income,get money; make money
ZH,扎啤,Draft beer; beer served from a keg or cask rather than from a bottle or can.,draught beer
ZH,扎账,to owe a debt; to be in debt,owe a debt
ZH,渣儿,weakness; shortcoming; flaw,weakness; shortcoming; defect
ZH,奓,(of clothing or hair) to stand upright; to stick up; to be raised or bristled upward,(of clothes or hair)stand up on end; stick up; turn upwards; bristle
ZH,炸篷,To cause an uproar or public outcry due to a disastrous event or performance.,to raise the roof; raise a ruckus; raise hell/ A metaphor for a bad scene or unsuccessful performance which aroused anger and protest from people.
ZH,择,To choose; to select; to pick out from among options.,select; choose; pick
ZH,粘客,A vendor who sells pirated software or counterfeit optical discs.,pirated software or CD-ROM seller
ZH,长份儿,to enhance someone's social status and prestige,raise one’s social status and prestige
ZH,招事（儿）,To cause trouble; to provoke or invite trouble; to bring trouble upon oneself.,call down trouble; stir up trouble; bring trouble upon oneself
ZH,着实,Truly; indeed; genuinely; in reality or in fact.,really; indeed
ZH,找辙,to seek a solution or find a way out of a difficult situation,"think of a way(idea, solution); look for a way out; seek a way(solution)out"
ZH,折进去,To become involved in or entangled with trouble or a problematic situation.,be involved in; get into trouble
ZH,真格的,Genuine; real; sincere; carried out seriously or in earnest.,really; truly; seriously; real; true; serous
ZH,震,To cause a sensation; to create a disturbance or stir.,cause a sensation; create a stir
ZH,蒸馏水衙门,government office with the lowest salaries and no bonuses,distilled water unit/A term for government offices that give the lowest salaries and no bonuses.
ZH,正炒,To publicly praise or flatter someone or something excessively through mass media.,flatter(lavish praise on)sb. Or sth. through the mass media
ZH,支招,to offer advice or suggest a solution,give counsel; think of a way
ZH,直来直去,Direct and straightforward in speech or action; frank and to the point.,(of speech or action) get to the point; do sth. straight out; be blunt
ZH,中巴,"A privately operated mid-sized city bus running regular routes, more frequent and comfortable than public buses.","medium-sized bus/privately run buses in cities that run the same routes as public buses. They usually run more frequently and are more comfortable than public buses, but cost five times as much."
ZH,轴,Unadaptable or rigid in behavior; lacking flexibility or dexterity.,(of one’s action) inflexible; stiff; awkward
ZH,煮饺子,To be extremely crowded; to describe a place filled to capacity with people.,boil dumplings in a pot/A metaphor for a place that is full of people or overcrowded.
ZH,抓瞎,"To become confused and disoriented, often resulting in panic or disorder.",find oneself at a loss; be in a rush and muddle
ZH,转腰子,To wander around aimlessly or take a long time to find a solution to a problem.,walk around; wander; take a long time to find a right way to solve sth.
ZH,装洋蒜,"To pretend, feign, or deliberately act ignorant.",pretend; fake; play dumb
ZH,追尾,"rear door: the door at the back of a car, truck, or similar vehicle that can be opened or lowered",tailgate
ZH,滋,pleasant; comfortable; giving a sense of ease or enjoyment,comfortable
ZH,滋润,"To be comfortable, at ease, and enjoying a pleasant and carefree life.",comfortable; at ease; free; in heaven
ZH,子儿,money; formerly referred specifically to copper coins,money/Referred to copper coins in the old days
ZH,自找,To bring something upon oneself; to be responsible for one's own predicament.,ask for it; suffer from one’s own actions
ZH,走你,To give something to someone; to hand over.,Here you are; here you go
ZH,走背字,To experience bad luck or to perform poorly or unsuccessfully at something.,be unlucky; do sth. not well or unsuccessfully
ZH,走合,To profit by buying and reselling goods; to earn money by acting as an intermediary.,make a profit by buying and reselling goods; make money by working as a middleman
ZH,走火入魔,To go to extremes or become excessively obsessed with something.,overdo; go too far; go to extremes
ZH,走人,to leave; to depart,go; leave
ZH,走眼,To misjudge or incorrectly assess someone or something.,to see something mistakenly; to misjudge something; mistake sb. Or sth.
ZH,钻石王老五,A very wealthy unmarried man.,a very wealthy bachelor
ZH,作,To become uncontrollable or to ruin a situation through one's own actions.,run wild; mess things up
ZH,做瘪子,"To feel unhappy, anxious, or emotionally low.",feel unhappy; worry; be in low spirits
ZH,坐二等,To ride as a passenger on the rear seat of a bicycle.,perch on the back of a bicycle
ZH,做辣,"To put someone in a difficult, embarrassing, or awkward situation.",put someone in a difficult situation; make someone feel embarrassed; put someone in a bind
ZH,作脸,to bring honor to; to win honor for (someone or something),win the honor for; bring credit to
ZH,作死,To deliberately court trouble or risk serious consequences through reckless behavior.,look for trouble; court death
ZH,做秀,"To put on a display or performance, often to attract attention or impress others.",show
EN,ace,the smallest whole number or a numeral representing this number,"great, excellent."
EN,acid,any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt,the hallucinogenic LSD (Lysergic acid diethylamide).
EN,action,something done (usually as opposed to something said),"sexual activity.  The term is ambiguous, and can mean intercourse or sexual non-intercourse contact (e.g. kissing; ""making out"".)"
EN,active,chemical agent capable of activity,something or someone that is cool; tight.
EN,afro,a rounded thickly curled hairdo,any large hair style.
EN,airhead,a flighty scatterbrained simpleton,"an unintelligent person; ""dimwit"".  Contains strong connotations of obliviousness or forgetfulness.  Origin: term implies the person\'s head contains nothing but air."
EN,already,prior to a specified or implied time,"equivalent to ""I already know"" or ""You already know,"" as if to say ""YES!"" emphatically.  Demonstrates total agreement with what a speaker has said."
EN,ambo,a platform raised above the surrounding level to give prominence to the person on it,"""ambulance""."
EN,anal,of or related to the anus,shortened form of anal retentive.
EN,animal,a living organism characterized by voluntary movement,a person who is extremely dedicated to something.
EN,ankle,a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus,"a person who deserves a label even worse than ""cunt"".  From an anatomical description of a human: ""An ankle is two feet beneath a cunt."""
EN,apple,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh,a breast.
EN,armpit,the hollow under the arm where it is joined to the shoulder,a displeasing area within some larger area.
EN,ash,the residue that remains when something is burned,"dry, dead, or dirty skin. "
EN,ass,the fleshy part of the human body that you sit on,anything displeasing.
EN,aught,a quantity of no importance,"zero.  An antiquated term, but not slang.  In the long past, used for years between and including 1901 and 1909.  Now, used for years between and including 2001 and 2009 to humorously suggest that they were a long time ago."
EN,avatar,a new personification of a familiar idea,"an icon, pictorial, or 3D representation of a person online.  In the online gaming community, for example, one's character as seen by other players is one's avatar.  Origin: in Hindu mythology, an avatar is a physical incarnation of a deity on earth."
EN,awesome,inspiring awe or admiration or wonder; ; ; ; - Melville,a metaphorical substance that adds excellence.
EN,axe,an edge tool with a heavy bladed head mounted across a handle,"""ask""."
EN,b,aerobic rod-shaped spore-producing bacterium; often occurring in chainlike formations; found primarily in soil,"woman.  Likely short for ""bitch""."
EN,babe,a very young child (birth to 1 year) who has not yet begun to walk or talk,affectionate term for one's significant other.
EN,baby,a very young child (birth to 1 year) who has not yet begun to walk or talk,small.
EN,back,the posterior part of a human (or animal) body from the neck to the end of the spine,an alcohol chaser.
EN,bacon,back and sides of a hog salted and dried or smoked; usually sliced thin and fried,the police.  See also pig.
EN,bad,that which is below standard or expectations as of ethics or decency,"very good, excellent."
EN,bail,(criminal law) money that must be forfeited by the bondsman if an accused person fails to appear in court for trial,to leave.
EN,bairn,a child: son or daughter,a baby.  Origin: Scottish.
EN,bait,anything that serves as an enticement,obvious.
EN,bake,cook and make edible by putting in a hot oven,to flatulate.  Also bake brownies.
EN,baked,cook and make edible by putting in a hot oven,"under the influence of marijuana; ""stoned""."
EN,ball,round object that is hit or thrown or kicked in games,a great time.
EN,banana,any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits,a penis. 
EN,bang,a vigorous blow,"to be very good; ""be awesome""."
EN,bank,sloping land (especially the slope beside a body of water),a great deal of money.
EN,bap,a small loaf or roll of soft bread,verbal imitation of gunfire.
EN,bar,a room or establishment where alcoholic drinks are served over a counter,"in computing, an example or placeholder variable.  Used in the same way as ""foo"" and ""baz""."
EN,bare,lay bare,very.
EN,bareback,riding without a saddle,"of sex, unprotected sex."
EN,base,installation from which a military force initiates operations,"perverted, horny, animalistic."
EN,bastard,insulting terms of address for people who are stupid or irritating or ridiculous,a person born to unmarried parents.
EN,bate,moderate or restrain; lessen the force of,"""masturbate""."
EN,bean,any of various edible seeds of plants of the family Leguminosae used for food,an Ecstasy (MDMA) pill or tablet.
EN,bear,massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws,a difficult task.
EN,beard,the hair growing on the lower part of a man's face,"a female companion who accompanies a gay man in order to give the impression that he is straight.Everything Wrong With America, In A Photo, Chateau Heartiste, Roissy, August 5, 2016 "
EN,beast,a living organism characterized by voluntary movement,"very good, excellent; ""cool""; ""awesome""."
EN,beastly,very unpleasant,"very good, excellent; ""cool"", ""awesome""."
EN,beat,a regular route for a sentry or policeman,"lacking excitement or people; ""boring""."
EN,beauty,the qualities that give pleasure to the senses,"An exclamation used by itself when something of exceptional sweetness or luck occurs, like sinking a whole in one on a 300 yard hole. Also used to congratulate oneself or another on a sturdy or exceptional performance."
EN,beaver,the soft brown fur of the beaver,Exploding meat
EN,bed,a piece of furniture that provides a place to sleep,to have sex with someone.
EN,beef,cattle that are reared for their meat,to be in a disagreement.
EN,bender,a tool for bending,an extended period of alcohol or drug use.  Usually more than a single night.
EN,bent,a relatively permanent inclination to react in a particular way,greatly under the influence of alcohol or drugs.
EN,bet,the money risked on a gamble,"a confirmation, or a contract expression used in betting scenarios."
EN,beta,the 2nd letter of the Greek alphabet,a pre-release product that is released for testing.
EN,bird,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings,"a female.  Usually, but not always, used in reference to an attractive female.  Origin: British."
EN,biscuit,small round bread leavened with baking-powder or soda,a gun.  Possibly from the Wu-Tang Clan.
EN,bitch,an unpleasant difficulty,"the middle seat in the front or back of a vehicle.  The term is used most frequently to refer to the back, likely simply because most modern vehicles (especially cars) don't have a middle seat in the front."
EN,biter,someone who bites,"a person who ""bites"".  That is, a person who plagiarizes from someone or imitates someone; ""copy-cat""."
EN,blast,a very long fly ball,something very fun.
EN,blasted,make a strident sound,"v. slang for getting shot, made popular by rap music artists, in the mid 90's."
EN,blaze,a strong flame that burns brightly,to express anger or surprise
EN,blind,"people who have severe visual impairments, considered as a group",In love.
EN,blood,"the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets",a member of the Bloods gang.
EN,blotter,absorbent paper used to dry ink,"LSD (""acid"") on blotter paper."
EN,blow,a powerful stroke with the fist or a weapon,cocaine.
EN,blower,a device that produces a current of air,a person or object that erred.
EN,blown,exhale hard,"surprising, strange, freaky, weird, or amazing."
EN,blowy,abounding in or exposed to the wind or breezes,a lie.
EN,blunt,make less intense,"a marijuana cigarette; ""joint""."
EN,bob,a former monetary unit in Great Britain,"a fat woman.  Acronym for ""Big Ol\' Bitch."""
EN,bogey,an evil spirit,an enemy aircraft.
EN,bogus,fraudulent; having a misleading appearance,"displeasing; of poor quality; ""uncool""."
EN,bomb,an explosive device fused to explode under specific conditions,"good; excellent; ""cool"".  See also the bomb."
EN,bombed,throw bombs at or attack with bombs,extremely drunk.
EN,bone,rigid connective tissue that makes up the skeleton of vertebrates,"the penis, especially when erect."
EN,bong,a dull resonant sound as of a bell,a pipe with a water filtration system used for smoking marijuana.
EN,boo,a cry or noise made to express displeasure or contempt,"interjection used to express disappointment or outrage, usually in public gatherings such as sporting events, speeches, and musical performances."
EN,booby,an ignorant or foolish person,promiscuous.This definition is questionable and is pending deletion.  It will be saved from deletion if legitimate citations are found.
EN,boogie,an instrumental version of the blues (especially for piano),to leave.
EN,book,a written work or composition that has been published (printed on pages bound together),"cool.  From predictive software used in cell phone text messaging.  ""Book"" and ""cool"" share the same key sequence."
EN,boon,a desirable state,"to drive off-road, typically in a four-wheel drive vehicle.  Etymology: from the word boondocks, meaning rural area."
EN,booster,a person who backs a politician or a team etc.,"Used to indicate that something has to be done fast, immediately.  Origin: used by Navy carrier crew, I believe in order to shorten radio transmissions."
EN,boot,footwear that covers the whole foot and lower leg,A person from Louisiana
EN,booty,goods or money obtained illegally,"bad, displeasing.  As if from one's buttocks."
EN,boss,a person who exercises control over workers,"very good, excellent; ""cool""; ""awesome"".  Antiquated term."
EN,bottom,the lower side of anything,homosexual male who prefers being sodomized rather than sodomizing during sex.
EN,bounce,the quality of a substance that is able to rebound,to leave.
EN,bowl,a round vessel that is open at the top; used chiefly for holding food or liquids,"a marijuana smoking pipe.  Most frequently bowls are made out of blown glass, but can be made of metal, wood, etc."
EN,box,a (usually rectangular) container; may have a lid,"A computer.  Often identified by its operating system, e.g. ""Unix box"" or ""Windows box."""
EN,boy,a youthful male person,general exclamation.
EN,bra,an undergarment worn by women to support their breasts,alternate pronunciation of bro.
EN,brain,that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord,fellatio.
EN,bread,food made from dough of flour or meal and usually raised with yeast or baking powder and then baked,"under the influence of marijuana; ""stoned"".  Perhaps derived from baked."
EN,breeder,a person who breeds animals,"""inbreeder""."
EN,breeze,a slight wind (usually refreshing),"talking rubbish. Comes from the longer term ""chatting breeze"", meaning it\'s just a load of hot air."
EN,brew,drink made by steeping and boiling and fermenting rather than distilling,"really ugly.Added remark: I live in Dublin and would spell ""that girl was bru\' "", as instead of ""brew"" in your example, what sounds like [bru] could be a short version of ""brutal"". Usual slang expression ""she\'s brutal"" as in very unattractive."
EN,brick,rectangular block of clay baked by the sun or in a kiln; used as a building or paving material,"very cold.  Usually only used to describe the temperature of a place, e.g. the weather or indoors in a particular location."
EN,brown,an orange of low brightness and saturation,black tar heroin.
EN,bubbler,a public fountain to provide a jet of drinking water,drinking fountain or water fountain.
EN,bubbly,a white sparkling wine either produced in Champagne or resembling that produced there,overly hyper and happy.
EN,buck,a gymnastic horse without pommels and with one end elongated; used lengthwise for vaulting,knowingly doing other than what is right.
EN,bucket,a roughly cylindrical vessel that is open at the top,"a vehicle in poor condition; ""hooptie""."
EN,bud,a partially opened flower,friend.  Possibly from buddy.
