lang,slang,conv_def_en,conv_def,slang_definition,slang_definition_en,vanilla_cos_sim,vanilla_cos_dist,vanilla_euclidean,vanilla_manhattan,trained_cos_sim,trained_cos_dist,trained_euclidean,trained_manhattan
en,skive,Pare ( the edge of a piece of leather or other material ) so as to reduce its thickness,Pare ( the edge of a piece of leather or other material ) so as to reduce its thickness,to purposefully not attend school with no formal reason.  UK origin,to purposefully not attend school with no formal reason.  UK origin,0.07737216,0.9226278,1.3584019,28.982101,0.2797584,0.7202416,1.2002013,26.734074
en,skivvy,A lightweight high - necked long - sleeved garment,A lightweight high - necked long - sleeved garment,the inside info;,the inside info;,0.15952098,0.840479,1.2965176,27.134987,0.34187704,0.65812296,1.1472776,25.656948
en,skull,A bone framework enclosing the brain of a vertebrate ; the skeleton of a person's or animal's head,A bone framework enclosing the brain of a vertebrate ; the skeleton of a person's or animal's head,fellatio,fellatio,0.15261611,0.84738386,1.3018324,27.655567,0.442379,0.557621,1.0560502,23.491962
en,skunky,Like a skunk,Like a skunk,stinky,stinky,0.52920556,0.47079444,0.970355,20.413162,0.5005087,0.49949127,0.99949116,22.423569
en,skyrocket,A rocket designed to explode high in the air as a signal or firework,A rocket designed to explode high in the air as a signal or firework,to increase very quickly,to increase very quickly,0.28965425,0.71034575,1.1919277,25.52615,0.42894915,0.5710509,1.0686916,23.567778
en,slab,"A large , thick , flat piece of stone or concrete , typically square or rectangular in shape","A large , thick , flat piece of stone or concrete , typically square or rectangular in shape","street, from slab (large piece) of concrete","street, from slab (large piece) of concrete",0.6740092,0.3259908,0.80745375,17.292387,0.62701,0.37299,0.8637012,19.497154
en,slack,Not taut or held tightly in position ; loose,Not taut or held tightly in position ; loose,tolerance,tolerance,0.19792989,0.80207014,1.2665465,26.20796,0.44388062,0.5561194,1.0546274,23.568262
en,slag,Stony waste matter separated from metals during the smelting or refining of ore,Stony waste matter separated from metals during the smelting or refining of ore,a subservient person or worker bee,a subservient person or worker bee,0.063424945,0.93657506,1.3686306,29.085075,0.13095802,0.869042,1.3183641,29.680054
en,slam dunk,A shot in which a player thrusts the ball down through the basket,A shot in which a player thrusts the ball down through the basket,a sure thing,a sure thing,0.112094656,0.88790536,1.3325953,28.185413,0.12262258,0.8773774,1.3246716,29.52375
en,slap,Hit or strike with the palm of the hand or a flat object,Hit or strike with the palm of the hand or a flat object,loud music,loud music,0.24381012,0.7561899,1.2297885,26.255543,0.35214207,0.6478579,1.1382952,25.145214
en,slash,"Cut with a wide , sweeping movement , typically using a knife or sword","Cut with a wide , sweeping movement , typically using a knife or sword",local slash; term for local lager or beer when in a foreign country,local slash; term for local lager or beer when in a foreign country,0.2099484,0.7900516,1.2570217,26.200775,0.54172575,0.45827425,0.9573654,21.599585
en,sleazy,"( of a person or situation ) sordid , corrupt , or immoral","( of a person or situation ) sordid , corrupt , or immoral",similar to those of a prostitute or promiscuous person,similar to those of a prostitute or promiscuous person,0.6704045,0.3295955,0.81190586,17.46973,0.76490617,0.23509383,0.6857023,15.024717
en,sledge,"A vehicle on runners for conveying loads or passengers over snow or ice , often pulled by draught animals","A vehicle on runners for conveying loads or passengers over snow or ice , often pulled by draught animals","to separate oneself from a female quickly due to obvious psychological problems and move on quickly for better dating prospects.  From popular comedian Tommy Sledge who say\'s I moved on, it\'s my job it\'s what I do","to separate oneself from a female quickly due to obvious psychological problems and move on quickly for better dating prospects.  From popular comedian Tommy Sledge who say\'s I moved on, it\'s my job it\'s what I do",0.12769578,0.8723042,1.3208363,28.279877,0.35893583,0.64106417,1.1323111,25.43951
en,sleeper,A person or animal who is asleep or who sleeps in a specified way,A person or animal who is asleep or who sleeps in a specified way,something successful that initially wasn't successful,something successful that initially wasn't successful,0.056223866,0.94377613,1.3738822,29.016823,0.30317453,0.6968255,1.18053,26.189434
en,sliced,( of food ) cut into slices,( of food ) cut into slices,"having large, rippling muscles and extremely low body fat","having large, rippling muscles and extremely low body fat",0.26142353,0.7385765,1.2153819,25.905739,0.543486,0.456514,0.9555249,21.178738
en,slick,Done or operating in an impressively smooth and efficient way,Done or operating in an impressively smooth and efficient way,you out-did someone in something,you out-did someone in something,0.20463192,0.7953681,1.2612438,27.124897,-0.061274037,1.061274,1.4568968,32.21541
en,slide,Move smoothly along a surface while maintaining continuous contact with it,Move smoothly along a surface while maintaining continuous contact with it,to leave,to leave,0.09551373,0.9044863,1.3449805,29.466469,0.40908805,0.590912,1.0871172,24.21792
en,sling,A flexible strap or belt used in the form of a loop to support or raise a hanging weight,A flexible strap or belt used in the form of a loop to support or raise a hanging weight,to sell,to sell,0.10262282,0.8973772,1.3396844,28.362844,0.30022228,0.6997777,1.1830281,26.17955
en,slip,Lose one's footing and slide unintentionally for a short distance,Lose one's footing and slide unintentionally for a short distance,to decline in one's talent or skill,to decline in one's talent or skill,0.45281512,0.5471849,1.0461212,22.270891,0.58587563,0.41412437,0.9100818,20.249401
en,slit,"A long , narrow cut or opening","A long , narrow cut or opening",female genitals,female genitals,0.30729938,0.6927006,1.1770307,25.410057,0.5986661,0.40133393,0.8959174,20.045101
en,slope,A surface of which one end or side is at a higher level than another ; a rising or falling surface,A surface of which one end or side is at a higher level than another ; a rising or falling surface,an Asian person.  Derogatory,an Asian person.  Derogatory,0.14238074,0.8576193,1.3096713,28.557976,0.05727087,0.9427291,1.3731198,30.646597
en,slug,A tough - skinned terrestrial mollusc which typically lacks a shell and secretes a film of mucus for protection . It can be a serious plant pest,A tough - skinned terrestrial mollusc which typically lacks a shell and secretes a film of mucus for protection . It can be a serious plant pest,a commuter who hitchhikes a ride with an unknown driver at a designated pickup point.  Often used to take advantage of High Occupancy Vehicle (HOV) lanes during commute hours,a commuter who hitchhikes a ride with an unknown driver at a designated pickup point.  Often used to take advantage of High Occupancy Vehicle (HOV) lanes during commute hours,0.05054254,0.94945747,1.3780112,30.187717,0.19348162,0.8065184,1.2700537,28.147861
en,slush,Partially melted snow or ice,Partially melted snow or ice,"a promiscuous female, who is easy to take to bed","a promiscuous female, who is easy to take to bed",-0.035057105,1.0350571,1.4387892,31.175976,0.06959142,0.9304086,1.3641177,30.179497
en,slut,A woman who has many casual sexual partners,A woman who has many casual sexual partners,a promiscuous person,a promiscuous person,0.62741745,0.37258255,0.86322945,18.674154,0.594597,0.40540302,0.90044767,19.728104
en,slutty,( with reference to a woman ) sexually promiscuous or provocative in a way that is considered in bad taste,( with reference to a woman ) sexually promiscuous or provocative in a way that is considered in bad taste,distastefully revealing,distastefully revealing,0.44771597,0.552284,1.0509844,22.641207,0.53153646,0.46846354,0.96795,21.580196
en,sly,Having or showing a cunning and deceitful nature,Having or showing a cunning and deceitful nature,For someone to exert themselves for the benefit of others in their social circle is 'sly',For someone to exert themselves for the benefit of others in their social circle is 'sly',0.6257882,0.3742118,0.86511475,18.27837,0.6216804,0.37831962,0.8698501,19.15865
en,smack,"A sharp slap or blow , typically one given with the palm of the hand","A sharp slap or blow , typically one given with the palm of the hand",excellent,excellent,0.14322264,0.85677737,1.3090281,27.992294,0.15340495,0.84659505,1.3012264,28.92733
en,smart,"( of a person ) clean , tidy , and well dressed","( of a person ) clean , tidy , and well dressed",insolent or snide,insolent or snide,0.31065562,0.6893444,1.1741759,25.424572,0.40246543,0.59753454,1.0931921,24.34974
en,smoke,"A visible suspension of carbon or other particles in air , typically one emitted from a burning substance","A visible suspension of carbon or other particles in air , typically one emitted from a burning substance",a cigarette,a cigarette,0.44808406,0.55191594,1.0506341,22.603895,0.52786195,0.47213805,0.97173864,21.463093
en,smooth,"Having an even and regular surface ; free from perceptible projections , lumps , or indentations","Having an even and regular surface ; free from perceptible projections , lumps , or indentations",without any unwanted events,without any unwanted events,0.21556786,0.7844322,1.2525432,26.487137,0.55151165,0.44848835,0.9470886,21.317867
en,smut,A small flake of soot or other dirt or a mark left by one,A small flake of soot or other dirt or a mark left by one,promiscuous female,promiscuous female,0.12964465,0.87035537,1.3193599,28.59104,0.4291604,0.57083964,1.068494,23.559385
en,snack,A small amount of food eaten between meals,A small amount of food eaten between meals,"attractive female or male.  Quality of being a snack - snackiness.  Potential of being a snack - snackability.  Adjective forms - snacky, snackilicious.  v.  snack (as in, Man, I\'d love to snack on him for a bit!)  Variation:  n. snackycakes (pet name)","attractive female or male.  Quality of being a snack - snackiness.  Potential of being a snack - snackability.  Adjective forms - snacky, snackilicious.  v.  snack (as in, Man, I\'d love to snack on him for a bit!)  Variation:  n. snackycakes (pet name)",0.26881772,0.7311823,1.2092828,25.990528,0.33062828,0.6693717,1.1570408,25.460375
en,snag,An unexpected or hidden obstacle or drawback,An unexpected or hidden obstacle or drawback,A powwow hook up,A powwow hook up,0.33780017,0.66219985,1.1508257,24.053917,0.43651253,0.56348747,1.0615908,23.323685
en,snap,"Break suddenly and completely , typically with a sharp cracking sound","Break suddenly and completely , typically with a sharp cracking sound",an exclamation of surprise or disappointment; damn; darn; shit,an exclamation of surprise or disappointment; damn; darn; shit,0.25272685,0.74727315,1.2225164,25.904343,0.6050919,0.39490807,0.88871604,19.478495
en,snapper,A marine fish that is typically reddish and is valued as food,A marine fish that is typically reddish and is valued as food,A female,A female,0.085096166,0.9149038,1.3527038,29.853233,0.3634097,0.6365903,1.128353,24.815342
en,snatch,Quickly seize ( something ) in a rude or eager way,Quickly seize ( something ) in a rude or eager way,female genitalia,female genitalia,0.08590576,0.9140942,1.3521051,29.21819,0.4439386,0.5560614,1.0545723,23.097569
en,sneak,Move or go in a furtive or stealthy way,Move or go in a furtive or stealthy way,to acquire discretely,to acquire discretely,0.33512986,0.66487014,1.1531438,24.759748,0.743836,0.256164,0.71577096,15.982143
en,snip,"Cut ( something ) with scissors or shears , typically with small quick strokes","Cut ( something ) with scissors or shears , typically with small quick strokes",to perform a vasectomy,to perform a vasectomy,0.3363222,0.6636778,1.1521093,24.524744,0.3983343,0.60166574,1.0969647,24.365414
en,snipe,"A wading bird of marshes and wet meadows , with brown camouflaged plumage , a long straight bill , and typically a drumming display flight","A wading bird of marshes and wet meadows , with brown camouflaged plumage , a long straight bill , and typically a drumming display flight",partially smoke cigarette,partially smoke cigarette,0.11961937,0.88038063,1.3269368,28.611595,0.07204287,0.9279571,1.3623195,30.510353
en,snort,"An explosive sound made by the sudden forcing of breath through one's nose , used to express indignation , derision , or incredulity","An explosive sound made by the sudden forcing of breath through one's nose , used to express indignation , derision , or incredulity",a gulp of alcohol,a gulp of alcohol,0.32404014,0.6759598,1.1627208,24.850136,0.4411791,0.5588209,1.0571858,23.641796
en,snow,Atmospheric water vapour frozen into ice crystals and falling in light white flakes or lying on the ground as a white layer,Atmospheric water vapour frozen into ice crystals and falling in light white flakes or lying on the ground as a white layer,cocaine,cocaine,0.07216345,0.92783654,1.362231,29.70266,0.25021625,0.74978375,1.2245684,27.055727
en,snowball,"A ball of packed snow , especially one made for throwing at other people for fun","A ball of packed snow , especially one made for throwing at other people for fun","a sexual practice where a person performs fellatio on a male until the male ejaculates, then spits the semen into the male's mouth","a sexual practice where a person performs fellatio on a male until the male ejaculates, then spits the semen into the male's mouth",0.20552877,0.79447126,1.2605326,27.386314,0.21339612,0.78660387,1.2542758,28.283478
en,snowbird,The snow bunting,The snow bunting,a person who spends the winter in a warm place,a person who spends the winter in a warm place,0.62516683,0.37483317,0.8658327,19.1213,0.74284494,0.25715506,0.7171541,15.969522
en,sock,"A garment for the foot and lower part of the leg , typically knitted from wool , cotton , or nylon","A garment for the foot and lower part of the leg , typically knitted from wool , cotton , or nylon",to hit,to hit,0.078738295,0.9212617,1.3573958,29.090515,0.25362888,0.74637115,1.2217783,27.273834
en,sod,Cover with sods or pieces of turf,Cover with sods or pieces of turf,bastard.  From Sodomite,bastard.  From Sodomite,0.2298136,0.7701864,1.2411175,26.030659,0.25943503,0.74056494,1.2170168,26.971504
en,solid,Firm and stable in shape ; not liquid or fluid,Firm and stable in shape ; not liquid or fluid,difficult,difficult,0.22991419,0.7700858,1.2410364,26.397564,0.51750386,0.48249614,0.98234016,21.727041
en,son,A boy or man in relation to either or both of his parents,A boy or man in relation to either or both of his parents,friend; dude,friend; dude,0.39705878,0.6029412,1.0981269,23.115005,0.5515716,0.4484284,0.9470252,21.068241
en,sophomore slump,A decline in academic performance during a student's second year of university,A decline in academic performance during a student's second year of university,a lack of success during a second attempt of something,a lack of success during a second attempt of something,0.4382102,0.5617898,1.0599903,23.0789,0.6243079,0.37569213,0.8668243,19.24445
en,sound,Vibrations that travel through the air or another medium and can be heard when they reach a person's or animal's ear,Vibrations that travel through the air or another medium and can be heard when they reach a person's or animal's ear,"good, great, fantastic, etc","good, great, fantastic, etc",0.11084413,0.88915586,1.3335335,28.189907,0.13164996,0.86835,1.3178393,29.361343
en,soup,"A liquid dish , typically savoury and made by boiling meat , fish , or vegetables etc . in stock or water","A liquid dish , typically savoury and made by boiling meat , fish , or vegetables etc . in stock or water","something worthless, hopeless, useless, etc.  Derived from the common United States military phrase Ate up like a soup sandwich","something worthless, hopeless, useless, etc.  Derived from the common United States military phrase Ate up like a soup sandwich",0.38596755,0.61403245,1.108181,24.34795,0.35982794,0.64017206,1.131523,25.298012
en,soused,"( of food , especially fish ) preserved in pickle or a marinade","( of food , especially fish ) preserved in pickle or a marinade",inebriated,inebriated,0.061431404,0.9385686,1.3700866,29.74907,0.3808728,0.6191272,1.1127689,24.837194
en,sow,Plant ( seed ) by scattering it on or in the earth,Plant ( seed ) by scattering it on or in the earth,an overweight female.  From the non-slang definition of sow: a female pig,an overweight female.  From the non-slang definition of sow: a female pig,0.09782542,0.9021746,1.3432606,29.040348,0.31670547,0.68329453,1.1690121,26.349506
en,spade,"A tool with a sharp - edged , typically rectangular , metal blade and a long handle , used for digging or cutting earth , sand , turf , etc","A tool with a sharp - edged , typically rectangular , metal blade and a long handle , used for digging or cutting earth , sand , turf , etc",to flirt with a person,to flirt with a person,-0.00076980237,1.0007699,1.4147578,30.320816,0.178826,0.821174,1.2815412,28.49114
en,spam,"Irrelevant or unsolicited messages sent over the Internet , typically to a large number of users , for the purposes of advertising , phishing , spreading malware , etc","Irrelevant or unsolicited messages sent over the Internet , typically to a large number of users , for the purposes of advertising , phishing , spreading malware , etc",off-topic messages posted to an internet forum,off-topic messages posted to an internet forum,0.6294882,0.37051177,0.8608271,18.242126,0.84649384,0.15350616,0.5540869,12.176712
en,spank,"Slap with one's open hand or a flat object , especially on the buttocks as a punishment","Slap with one's open hand or a flat object , especially on the buttocks as a punishment",really sharp and clean looking,really sharp and clean looking,0.12071757,0.8792824,1.3261089,28.63485,0.098833136,0.90116686,1.3425102,29.091145
en,spanking,( especially of a horse or its gait ) lively ; brisk,( especially of a horse or its gait ) lively ; brisk,an emphatic and comprehensive win,an emphatic and comprehensive win,0.10808611,0.8919139,1.3356001,27.573622,0.18190283,0.8180972,1.2791381,28.539314
en,special,"Better , greater , or otherwise different from what is usual","Better , greater , or otherwise different from what is usual","retarded, or simply unintelligent","retarded, or simply unintelligent",0.30522865,0.69477135,1.1787887,25.899078,0.46822238,0.5317776,1.0312881,22.706305
en,spew,Expel large quantities of ( something ) rapidly and forcibly,Expel large quantities of ( something ) rapidly and forcibly,vomit,vomit,0.294795,0.70520496,1.1876069,25.727667,0.56631416,0.43368584,0.93132794,20.793655
en,spider,"An eight - legged predatory arachnid with an unsegmented body consisting of a fused head and thorax and a rounded abdomen . Spiders have fangs which inject poison into their prey , and most kinds spin webs in which to capture insects","An eight - legged predatory arachnid with an unsegmented body consisting of a fused head and thorax and a rounded abdomen . Spiders have fangs which inject poison into their prey , and most kinds spin webs in which to capture insects",a male,a male,0.2898667,0.7101333,1.1917495,25.048649,0.053476434,0.94652355,1.3758805,30.643291
en,spike,"A thin , pointed piece of metal , wood , or another rigid material","A thin , pointed piece of metal , wood , or another rigid material",to secretly put alcohol in a non-alcoholic beverage,to secretly put alcohol in a non-alcoholic beverage,0.17371967,0.82628036,1.2855196,27.695229,0.35382554,0.64617443,1.1368152,25.217941
en,spill,"Cause or allow ( liquid ) to flow over the edge of its container , especially unintentionally","Cause or allow ( liquid ) to flow over the edge of its container , especially unintentionally",to talk; utter; confess (often seen as spill the beans),to talk; utter; confess (often seen as spill the beans),0.26047367,0.73952633,1.216163,25.816841,0.45545256,0.54454744,1.043597,23.07687
en,spinner,A person occupied in making thread by spinning,A person occupied in making thread by spinning,a petite female.,a petite female.,0.30956528,0.6904347,1.175104,25.452587,0.45453715,0.54546285,1.0444738,23.144909
en,spit,"Eject saliva forcibly from one's mouth , sometimes as a gesture of contempt or anger","Eject saliva forcibly from one's mouth , sometimes as a gesture of contempt or anger",to rhyme or rap,to rhyme or rap,0.20734927,0.7926507,1.2590876,27.497417,0.47597757,0.52402246,1.0237406,23.07325
en,spoiler,A person or thing that spoils something,A person or thing that spoils something,anything that ruins a person's pleasure of figuring out something unknown to them,anything that ruins a person's pleasure of figuring out something unknown to them,0.65083814,0.34916186,0.8356576,17.84405,0.44374526,0.55625474,1.0547557,23.375767
en,sport,An activity involving physical exertion and skill in which an individual or team competes against another or others for entertainment,An activity involving physical exertion and skill in which an individual or team competes against another or others for entertainment,affectionate form of address for a male child,affectionate form of address for a male child,0.08405784,0.9159422,1.3534712,28.73349,0.25703573,0.74296427,1.2189866,27.480536
en,spot,"A small round or roundish mark , differing in colour or texture from the surface around it","A small round or roundish mark , differing in colour or texture from the surface around it",a place to hang out or party,a place to hang out or party,0.2342392,0.7657608,1.2375467,26.42236,0.4016372,0.5983628,1.0939494,24.0611
en,spread,"Open out ( something ) so as to extend its surface area , width , or length","Open out ( something ) so as to extend its surface area , width , or length",an impressive buffet of food,an impressive buffet of food,0.20235094,0.797649,1.263051,27.17418,0.3644324,0.6355676,1.1274464,25.614704
en,spud,A short length of pipe that is used to connect two components or that takes the form of a projection from a fitting to which a pipe may be screwed,A short length of pipe that is used to connect two components or that takes the form of a projection from a fitting to which a pipe may be screwed,"noun, means acting like a vegetable, dense, not too alert","noun, means acting like a vegetable, dense, not too alert",0.2158609,0.7841391,1.2523092,26.255188,0.22853611,0.7714639,1.2421464,28.080612
en,spyware,Software that enables a user to obtain covert information about another's computer activities by transmitting data covertly from their hard drive,Software that enables a user to obtain covert information about another's computer activities by transmitting data covertly from their hard drive,software that lets third parties monitor a user\'s activities and personal data.  From spy + software,software that lets third parties monitor a user\'s activities and personal data.  From spy + software,0.7956855,0.20431447,0.63924104,13.756149,0.84735477,0.15264523,0.55253077,12.328533
en,square,A plane figure with four equal straight sides and four right angles,A plane figure with four equal straight sides and four right angles,with debts settled; even,with debts settled; even,0.16440831,0.8355917,1.2927426,27.553514,0.4866003,0.5133997,1.013311,22.72141
en,squat,Crouch or sit with one's knees bent and one's heels close to or touching one's buttocks or the back of one's thighs,Crouch or sit with one's knees bent and one's heels close to or touching one's buttocks or the back of one's thighs,"anything, used in the negative to mean nothing","anything, used in the negative to mean nothing",0.1863746,0.8136254,1.2756375,27.005909,0.16416538,0.8358346,1.2929306,28.869175
en,squawk,"( of a bird ) make a loud , harsh noise","( of a bird ) make a loud , harsh noise",to confess a crime,to confess a crime,0.12387931,0.8761207,1.3237226,28.661795,0.5178273,0.48217273,0.98201096,21.426964
en,squeaker,A person or thing that squeaks,A person or thing that squeaks,"(n., adj.) A fart which is short in duration, high in pitch, and usually does not smell.  It is the result of tight or strangely angled butt cheeks","(n., adj.) A fart which is short in duration, high in pitch, and usually does not smell.  It is the result of tight or strangely angled butt cheeks",0.47015348,0.52984655,1.0294139,21.693924,0.5724965,0.42750353,0.9246659,20.468529
en,squeeze,"Firmly press ( something soft or yielding ), typically with one's fingers","Firmly press ( something soft or yielding ), typically with one's fingers",the primary focus of one's romantic life,the primary focus of one's romantic life,0.12994948,0.87005055,1.3191289,27.961126,0.2348473,0.7651527,1.2370552,27.592733
en,squelch,Make a soft sucking sound such as that made by treading heavily through mud,Make a soft sucking sound such as that made by treading heavily through mud,to steal,to steal,0.13782956,0.86217046,1.3131416,28.305214,0.46484601,0.535154,1.0345569,22.968384
en,squid,"An elongated , fast - swimming cephalopod mollusc with eight arms and two long tentacles , typically able to change colour","An elongated , fast - swimming cephalopod mollusc with eight arms and two long tentacles , typically able to change colour","someone lacking in ability or skill, especially in a sport or activity","someone lacking in ability or skill, especially in a sport or activity",-0.041838977,1.041839,1.443495,31.742527,-0.08529763,1.0852976,1.473294,33.117676
en,stack,"A pile of objects , typically one that is neatly arranged","A pile of objects , typically one that is neatly arranged",thousand dollars,thousand dollars,0.1542116,0.8457884,1.3006064,27.42975,0.37354153,0.62645847,1.1193378,24.818111
en,stacked,( of a number of things ) put or arranged in a stack or stacks,( of a number of things ) put or arranged in a stack or stacks,large breasted,large breasted,0.12833656,0.87166345,1.320351,27.605804,0.59518564,0.40481436,0.8997937,20.117233
en,stallion,An uncastrated adult male horse,An uncastrated adult male horse,"an extremely handsome, well built man - usually a stripper - whose body is in great shape","an extremely handsome, well built man - usually a stripper - whose body is in great shape",0.31340292,0.6865971,1.1718336,25.867332,0.63259685,0.36740315,0.8572084,18.692574
en,stand up,"( of an argument , claim , evidence , etc .) remain valid after close scrutiny or analysis","( of an argument , claim , evidence , etc .) remain valid after close scrutiny or analysis","to skip a pre-arranged meeting, especially a date","to skip a pre-arranged meeting, especially a date",0.04243348,0.9575665,1.3838834,29.590406,0.17503634,0.8249637,1.284495,28.477343
en,starfish,"A marine echinoderm ( invertebrate ) with five or more radiating arms . The undersides of the arms bear tube feet for locomotion and , in predatory species , for opening the shells of molluscs","A marine echinoderm ( invertebrate ) with five or more radiating arms . The undersides of the arms bear tube feet for locomotion and , in predatory species , for opening the shells of molluscs",the anus,the anus,0.35663843,0.64336157,1.1343381,23.946209,0.35179806,0.64820194,1.1385975,25.590584
en,stat,( in a medical direction or prescription ) immediately,( in a medical direction or prescription ) immediately,statistic,statistic,0.17240751,0.8275925,1.2865399,27.768301,0.39224714,0.60775286,1.1024998,24.389944
en,stay,Remain in the same place,Remain in the same place,have sex,have sex,0.09721875,0.90278125,1.3437122,28.892801,0.11985627,0.88014376,1.3267583,29.723219
en,steal,Take ( another person's property ) without permission or legal right and without intending to return it,Take ( another person's property ) without permission or legal right and without intending to return it,to hit someone (usually in the face),to hit someone (usually in the face),0.21245937,0.7875406,1.2550224,27.220612,0.4959337,0.5040663,1.0040581,22.13113
en,steamer,"A ship , boat , or locomotive powered by steam","A ship , boat , or locomotive powered by steam",feces;,feces;,0.18505114,0.81494886,1.2766744,27.434902,0.29156184,0.70843816,1.1903261,26.224146
en,steaming,Giving off steam,Giving off steam,very drunk,very drunk,0.16996372,0.8300363,1.2884381,27.869993,0.4075852,0.5924148,1.0884988,24.220821
en,stellar,Relating to a star or stars,Relating to a star or stars,"very good, excellent;","very good, excellent;",0.27982566,0.7201743,1.2001452,26.06131,0.25015968,0.7498403,1.2246144,27.359688
en,step,An act or movement of putting one leg in front of the other in walking or running,An act or movement of putting one leg in front of the other in walking or running,to step up to a fight,to step up to a fight,0.33039328,0.6696067,1.1572438,24.539257,0.53124046,0.46875954,0.9682558,21.289715
en,stewed,( of food ) cooked slowly in liquid in a closed dish or pan,( of food ) cooked slowly in liquid in a closed dish or pan,drunk,drunk,0.0729624,0.9270376,1.3616443,29.132399,0.43155837,0.5684416,1.0662472,24.273914
en,stick,A thin piece of wood that has fallen or been cut off a tree,A thin piece of wood that has fallen or been cut off a tree,a person who lives in a rural area,a person who lives in a rural area,0.23507863,0.76492137,1.236868,26.719555,0.24280238,0.7571976,1.2306076,27.416994
en,sticky,Tending or designed to stick to things on contact,Tending or designed to stick to things on contact,in computing: persistent,in computing: persistent,0.3322565,0.6677435,1.1556327,24.689297,0.5936183,0.40638173,0.9015341,20.023623
en,stiff,Not easily bent or changed in shape ; rigid,Not easily bent or changed in shape ; rigid,to not leave a gratuity,to not leave a gratuity,0.18111396,0.81888604,1.2797548,26.933334,0.545101,0.454899,0.9538333,21.183659
en,stinger,"An insect or animal that stings , such as a bee or jellyfish","An insect or animal that stings , such as a bee or jellyfish",Feces,Feces,0.24813308,0.75186694,1.2262682,25.015678,0.13700551,0.8629945,1.313769,29.244268
en,stink,Have a strong unpleasant smell,Have a strong unpleasant smell,a commotion,a commotion,0.24200508,0.7579949,1.2312554,26.05,0.3044681,0.6955319,1.1794337,26.069239
en,stole,"A woman's long scarf or shawl , especially of fur or similar material , worn loosely over the shoulders","A woman's long scarf or shawl , especially of fur or similar material , worn loosely over the shoulders","to punch or attack, typically with no prior warning","to punch or attack, typically with no prior warning",0.028641166,0.97135884,1.3938141,29.942205,0.1289396,0.8710604,1.3198943,29.321861
en,stomp,"Tread heavily and noisily , typically in order to show anger","Tread heavily and noisily , typically in order to show anger",to defeat,to defeat,0.24708222,0.75291777,1.2271248,26.696777,0.39303246,0.60696757,1.1017872,24.48238
en,stoner,A person or thing that weighs a specified number of stone,A person or thing that weighs a specified number of stone,a person who frequently smokes marijuana,a person who frequently smokes marijuana,0.31907445,0.68092555,1.1669837,25.102783,0.44082177,0.55917823,1.0575237,23.558895
en,stooge,A subordinate used by another to do unpleasant routine work,A subordinate used by another to do unpleasant routine work,a person who is silly.  From The Three Stooges,a person who is silly.  From The Three Stooges,0.32942322,0.6705768,1.1580818,24.72649,0.54847175,0.45152825,0.9502928,21.099434
en,straight,Extending or moving uniformly in one direction only ; without a curve or bend,Extending or moving uniformly in one direction only ; without a curve or bend,fine; okay,fine; okay,0.12169911,0.8783009,1.3253685,27.582846,0.61561334,0.38438666,0.8767972,19.591234
en,strat,A Fender Stratocaster electric guitar,A Fender Stratocaster electric guitar,strategy,strategy,0.12011077,0.87988925,1.3265663,28.002274,0.25254792,0.7474521,1.2226627,27.309254
en,strawberry,A sweet soft red fruit with a seed - studded surface,A sweet soft red fruit with a seed - studded surface,"a prostitute, or one who sells or barters sexual services","a prostitute, or one who sells or barters sexual services",0.058604043,0.94139594,1.3721486,29.066673,0.32774484,0.67225516,1.1595302,25.349737
en,streak,"A long , thin line or mark of a different substance or colour from its surroundings","A long , thin line or mark of a different substance or colour from its surroundings",to run naked,to run naked,0.03786732,0.9621327,1.3871789,29.056479,0.23584892,0.7641511,1.2362452,27.57563
en,street,"A public road in a city , town , or village , typically with houses and buildings on one or both sides","A public road in a city , town , or village , typically with houses and buildings on one or both sides",Hip with an ultra-sharp edge,Hip with an ultra-sharp edge,0.15029617,0.84970385,1.3036133,27.663351,0.19710013,0.80289984,1.2672015,28.446278
en,stringer,"A longitudinal structural piece in a framework , especially that of a ship or aircraft","A longitudinal structural piece in a framework , especially that of a ship or aircraft",a freelance reporter or local correspondent who gets paid by the story.,a freelance reporter or local correspondent who gets paid by the story.,0.067050934,0.93294907,1.3659788,29.176022,0.15723608,0.8427639,1.2982788,28.94565
en,stroll,Walk in a leisurely way,Walk in a leisurely way,"an area, such as a particular street, where prostitutes solicit customers","an area, such as a particular street, where prostitutes solicit customers",0.30931425,0.69068575,1.1753176,25.10809,0.2418781,0.7581219,1.2313585,27.462498
en,struggle,Make forceful or violent efforts to get free of restraint or constriction,Make forceful or violent efforts to get free of restraint or constriction,"to be in disarray, to look slovenly","to be in disarray, to look slovenly",0.34993815,0.65006185,1.1402296,24.12529,0.3561987,0.64380133,1.1347258,25.078642
en,stubby,Short and thick,Short and thick,"nice looking or pretty.  From Oakland, California","nice looking or pretty.  From Oakland, California",0.28160954,0.71839046,1.198658,25.242573,0.26496267,0.7350373,1.2124664,27.01867
en,stuffed,( of a dead animal ) having the skin filled with material to restore the original shape and appearance,( of a dead animal ) having the skin filled with material to restore the original shape and appearance,feeling extremely full after eating,feeling extremely full after eating,0.09648034,0.90351963,1.3442616,29.322218,0.21459913,0.78540087,1.2533163,28.287975
